date,positive_total,recovered_total,deceased_total,tested_pcr_total,tested_ag_total,positive_daily,recovered_daily,deceased_daily,tested_pcr_daily,tested_ag_daily,tested_total,tested_daily,positive_ratio,active,vaxs_active,vaxs_active_prcs
2022-01-06,2521212,2406790,36661,16058455,31961130,6641,5102,58,57266,23960,48019585,81226,0.08175953512422131,77761,5480023.0,0.5120666408952457
2022-01-07,2527887,2407716,36707,16126783,31978371,6675,926,46,68328,17241,48105154,85569,0.07800722224169968,83464,5509619.0,0.5148321629202328
2022-01-08,2531850,2409409,36750,16167154,31985999,3963,1693,43,40371,7628,48153153,47999,0.0825642200879185,85691,5510953.0,0.5149568151158448
2022-01-09,2534614,2412745,36773,16191014,31994419,2764,3336,23,23860,8420,48185433,32280,0.08562577447335812,85096,5505435.0,0.5144411998119565
2022-01-10,2541976,2422826,36816,16262672,32031951,7362,10081,43,71658,37532,48294623,109190,0.06742375675428153,82334,5508321.0,0.5147108746519387
2022-01-11,2554354,2429565,36854,16340737,32054524,12378,6739,38,78065,22573,48395261,100638,0.12299529004948428,87935,5518309.0,0.5156441775977952
2022-01-12,2565822,2435036,36896,16406111,32075144,11468,5471,42,65374,20620,48481255,85994,0.1333581412656697,93890,5525707.0,0.5163354646616165
2022-01-13,2577515,2440616,36929,16476188,32099229,11693,5580,33,70077,24085,48575417,94162,0.12417960536097364,99970,5537378.0,0.5174260312095832
2022-01-14,2590745,2443864,36962,16557880,32118411,13230,3248,33,81692,19182,48676291,100874,0.13115371651763585,109919,5548078.0,0.5184258651623931
2022-01-15,2600038,2444907,36987,16619195,32124363,9293,1043,25,61315,5952,48743558,67267,0.13815095068904515,118144,5538533.0,0.5175339572110313
2022-01-16,2607284,2449343,37016,16653589,32132209,7246,4436,29,34394,7846,48785798,42240,0.1715435606060606,120925,5523668.0,0.5161449355560296
2022-01-17,2627595,2461456,37044,16745765,32196454,20311,12113,28,92176,64245,48942219,156421,0.12984829402701684,129095,5504333.0,0.5143382262590596
2022-01-18,2656099,2469520,37069,16855475,32228327,28504,8064,25,109710,31873,49083802,141583,0.2013236052350918,149510,5488659.0,0.5128736096818314
2022-01-19,2682123,2476226,37096,16958112,32248621,26024,6706,27,102637,20294,49206733,122931,0.21169599206058684,168801,5475349.0,0.5116298909984762
2022-01-20,2709064,2482971,37115,17064247,32290195,26941,6745,19,106135,41574,49354442,147709,0.1823924066915354,188978,5465652.0,0.5107237797984391
2022-01-21,2735696,2500850,37136,17188048,32319448,26632,17879,21,123801,29253,49507496,153054,0.17400394631959962,197710,5465468.0,0.5107065863921477
2022-01-22,2754055,2513800,37158,17275016,32327337,18359,12950,22,86968,7889,49602353,94857,0.19354396618067196,203097,5446409.0,0.5089256672046147
2022-01-23,2766958,2529863,37176,17327205,32335826,12903,16063,18,52189,8489,49663031,60678,0.2126470879066548,199919,5428625.0,0.5072638871095894
2022-01-24,2797355,2553808,37198,17447218,32396207,30397,23945,22,120013,60381,49843425,180394,0.16850338703061077,206349,5413694.0,0.5058686982545049
2022-01-25,2836995,2561128,37213,17594435,32426566,39640,7320,15,147217,30359,50021001,177576,0.22322836419335945,238654,5401605.0,0.5047390727726806
2022-01-26,2891698,2570074,37235,17739419,32447991,54703,8946,22,144984,21425,50187410,166409,0.3287262107217759,284389,5392831.0,0.5039192089313765
2022-01-27,2926517,2601528,37262,17877747,32488729,34819,31454,27,138328,40738,50366476,179066,0.1944478572146583,287727,5387514.0,0.503422375555013
2022-01-28,2973793,2626124,37285,18034306,32518277,47276,24596,23,156559,29548,50552583,186107,0.2540259098260678,310384,5397739.0,0.5043778243557121
2022-01-29,2992081,2650940,37312,18138151,32524786,18288,24816,27,103845,6509,50662937,110354,0.16572122442321982,303829,5388679.0,0.5035312359807161
2022-01-30,3016023,2676883,37341,18200765,32533117,23942,25943,29,62614,8331,50733882,70945,0.33747269011205866,301799,5376405.0,0.5023843236501752
2022-01-31,3045580,2703652,37375,18319493,32589748,29557,26769,34,118728,56631,50909241,175359,0.16855137175736631,304553,5365785.0,0.5013919650914049
2022-02-01,3102824,2717815,37419,18475887,32618712,57244,14163,44,156394,28964,51094599,185358,0.3088294004035434,347590,5353325.0,0.5002276724697217
2022-02-02,3146165,2734878,37459,18611500,32638295,43341,17063,40,135613,19583,51249795,155196,0.27926621820150005,373828,5342325.0,0.4991998057892629
2022-02-03,3183857,2788573,37499,18745014,32674685,37692,53695,40,133514,36390,51419699,169904,0.22184292306243525,357785,5326445.0,0.49771594007238235
2022-02-04,3212586,2833378,37553,18865932,32701246,28729,44805,54,120918,26561,51567178,147479,0.1948006156808766,341655,5316883.0,0.4968224435997872
2022-02-05,3236595,2873346,37601,18938732,32707276,24009,39968,48,72800,6030,51646008,78830,0.3045667892934162,325648,5302339.0,0.4954634169633697
2022-02-06,3245666,2912873,37647,18978313,32714554,9071,39527,46,39581,7278,51692867,46859,0.19358074222668004,295146,5287111.0,0.4940404757079128
2022-02-07,3275296,2949676,37707,19080120,32763325,29630,36803,60,101807,48771,51843445,150578,0.19677509330712323,287913,5255034.0,0.49104312302526953
2022-02-08,3313100,2965911,37760,19193323,32786891,37804,16235,53,113203,23566,51980214,136769,0.27640766547975054,309429,5231518.0,0.48884573094729966
2022-02-09,3342154,2983823,37805,19281448,32803318,29054,17912,45,88125,16427,52084766,104552,0.27789042772974215,320526,5204825.0,0.48635147228352826
2022-02-10,3364826,3040765,37862,19366216,32835439,22672,56942,57,84768,32121,52201655,116889,0.19396179281198403,286199,5182051.0,0.4842234144852766
2022-02-11,3386969,3086704,37920,19448132,32858110,22143,45939,58,81916,22671,52306242,104587,0.21171847361526766,262345,5162423.0,0.48238932655763617
