date,positive_total,recovered_total,deceased_total,tested_pcr_total,tested_ag_total,positive_daily,recovered_daily,deceased_daily,tested_pcr_daily,tested_ag_daily,tested_total,tested_daily,positive_ratio,active
2021-10-05,1696576,1658410,30541,10899633,27662850,1111,547,3,22519,32903,38562483,55422,0.020046191043268016,7625
2021-10-06,1697624,1658910,30546,10922542,27702754,1048,500,5,22909,39904,38625296,62813,0.016684444302930923,8168
2021-10-07,1698615,1659385,30549,10947036,27755661,991,475,3,24494,52907,38702697,77401,0.012803452151780985,8681
2021-10-08,1699632,1659913,30553,10974360,27838209,1017,528,4,27324,82548,38812569,109872,0.009256225425950197,9166
2021-10-09,1700298,1660168,30556,10989663,27864447,666,255,3,15303,26238,38854110,41541,0.01603235357839243,9574
2021-10-10,1700634,1660453,30560,10997582,27886842,336,285,4,7919,22395,38884424,30314,0.011083987596490071,9621
2021-10-11,1701977,1661273,30565,11019020,27938185,1343,820,5,21438,51343,38957205,72781,0.018452618128357676,10139
2021-10-12,1703484,1661624,30572,11043781,27972424,1507,351,7,24761,34239,39016205,59000,0.025542372881355933,11288
2021-10-13,1704983,1662682,30578,11075425,28012791,1499,1058,6,31644,40367,39088216,72011,0.020816264181861104,11723
2021-10-14,1706523,1663422,30584,11104623,28068590,1540,740,6,29198,55799,39173213,84997,0.018118286527759802,12517
2021-10-15,1708307,1664251,30594,11136664,28155785,1784,829,10,32041,87195,39292449,119236,0.014961924251065115,13462
2021-10-16,1709465,1664579,30602,11154335,28188497,1158,328,8,17671,32712,39342832,50383,0.022983942996645693,14284
2021-10-17,1710260,1664991,30613,11164594,28212943,795,412,11,10259,24446,39377537,34705,0.022907362051577583,14656
2021-10-18,1712792,1666157,30625,11191838,28268623,2532,1166,12,27244,55680,39460461,82924,0.030533982924123293,16010
2021-10-19,1716042,1667078,30635,11225643,28306918,3250,921,10,33805,38295,39532561,72100,0.04507628294036061,18329
2021-10-20,1719321,1668117,30642,11260084,28354473,3279,1039,7,34441,47555,39614557,81996,0.03998975559783404,20562
2021-10-21,1722964,1669104,30652,11301946,28414810,3643,987,10,41862,60337,39716756,102199,0.03564614135167663,23208
2021-10-22,1727200,1670074,30666,11347335,28508061,4236,970,14,45389,93251,39855396,138640,0.030553952683208308,26460
2021-10-23,1729956,1670550,30679,11377411,28543376,2756,476,13,30076,35315,39920787,65391,0.04214647275618969,28727
2021-10-24,1731793,1671085,30699,11394565,28571499,1837,535,20,17154,28123,39966064,45277,0.040572476091613845,30009
2021-10-25,1736075,1672700,30719,11434993,28635921,4282,1615,20,40428,64422,40070914,104850,0.04083929422985217,32656
2021-10-26,1742363,1674075,30735,11496659,28689245,6288,1375,16,61666,53324,40185904,114990,0.05468301591442734,37553
2021-10-27,1748210,1675625,30757,11560912,28767829,5847,1550,22,64253,78584,40328741,142837,0.0409347718028242,41828
2021-10-28,1752564,1677179,30783,11603143,28799692,4354,1554,26,42231,31863,40402835,74094,0.05876319270116339,44602
2021-10-29,1758315,1678983,30809,11648093,28886574,5751,1804,26,44950,86882,40534667,131832,0.043623702894593115,48523
2021-10-30,1763372,1679805,30832,11686143,28918726,5057,822,23,38050,32152,40604869,70202,0.072034984758269,52735
2021-10-31,1766145,1680766,30863,11710827,28956762,2773,961,31,24684,38036,40667589,62720,0.04421237244897959,54516
2021-11-01,1773746,1684190,30894,11775050,29004996,7601,3424,31,64223,48234,40780046,112457,0.06759027895106574,58662
2021-11-02,1783662,1687473,30929,11835156,29038271,9916,3283,35,60106,33275,40873427,93381,0.10618862509504075,65260
2021-11-03,1793131,1691082,30974,11877995,29076065,9469,3609,45,42839,37794,40954060,80633,0.1174333089429886,71075
2021-11-04,1801580,1694787,31019,11921681,29117369,8449,3705,45,43686,41304,41039050,84990,0.09941169549358748,75774
2021-11-05,1810821,1699011,31076,11972058,29182694,9241,4224,57,50377,65325,41154752,115702,0.07986897374289122,80734
2021-11-06,1816559,1701115,31126,12007166,29219359,5738,2104,50,35108,36665,41226525,71773,0.0799464979867081,84318
2021-11-07,1819566,1703428,31165,12025453,29244174,3007,2313,39,18287,24815,41269627,43102,0.0697647440954016,84973
