date,positive_total,recovered_total,deceased_total,tested_pcr_total,tested_ag_total,positive_daily,recovered_daily,deceased_daily,tested_pcr_daily,tested_ag_daily,tested_total,tested_daily,positive_ratio,active,vaxs_active
2021-10-21,1724090,1668544,30652,11297691,28414830,3644,987,10,41862,60337,39712521,102199,0.035655926183230754,24894,5031452.0
2021-10-22,1728328,1669514,30666,11343080,28508081,4238,970,14,45389,93251,39851161,138640,0.030568378534333526,28148,5044177.0
2021-10-23,1731084,1669990,30679,11373156,28543396,2756,476,13,30076,35315,39916552,65391,0.04214647275618969,30415,5042296.0
2021-10-24,1732923,1670525,30700,11390310,28571519,1839,535,21,17154,28123,39961829,45277,0.04061664862954701,31698,5040347.0
2021-10-25,1737210,1672141,30720,11430738,28635947,4287,1616,20,40428,64428,40066685,104856,0.040884641794460976,34349,5056861.0
2021-10-26,1743500,1673515,30736,11492405,28689282,6290,1374,16,61667,53335,40181687,115002,0.0546947009617224,39249,5072818.0
2021-10-27,1749365,1675067,30757,11556661,28768050,5865,1552,21,64256,78768,40324711,143024,0.04100710370287504,43541,5091853.0
2021-10-28,1753722,1676621,30783,11598896,28799970,4357,1554,26,42235,31920,40398866,74155,0.05875530982401726,46318,5082756.0
2021-10-29,1759479,1678424,30809,11643848,28886954,5757,1803,26,44952,86984,40530802,131936,0.04363479262672811,50246,5100566.0
2021-10-30,1764538,1679247,30833,11681898,28919114,5059,823,24,38050,32160,40601012,70210,0.07205526278307933,54458,5102298.0
2021-10-31,1767330,1680210,30864,11706567,28957174,2792,963,31,24669,38060,40663741,62729,0.04450891931961294,56256,5104459.0
2021-11-01,1774945,1683637,30895,11770799,29006359,7615,3427,31,64232,49185,40777158,113417,0.0671416101642611,60413,5128814.0
2021-11-02,1784885,1686843,30931,11830912,29040045,9940,3206,36,60113,33686,40870957,93799,0.10597127901150333,67111,5153234.0
2021-11-03,1794368,1690362,30976,11873756,29078149,9483,3519,45,42844,38104,40951905,80948,0.11714928101991402,73030,5181417.0
2021-11-04,1802861,1693974,31021,11917447,29120505,8493,3612,45,43691,42356,41037952,86047,0.09870187223261706,77866,5211394.0
2021-11-05,1812116,1698117,31078,11967844,29186327,9255,4143,57,50397,65822,41154171,116219,0.07963413899620544,82921,5244909.0
2021-11-06,1817860,1700180,31130,12002954,29223071,5744,2063,52,35110,36744,41226025,71854,0.07993987808611908,86550,5251730.0
2021-11-07,1820871,1702484,31169,12021245,29247970,3011,2304,39,18291,24899,41269215,43190,0.06971521185459598,87218,5256132.0
2021-11-08,1830158,1709024,31217,12071098,29303586,9287,6540,48,49853,55616,41374684,105469,0.08805430979719159,89917,5282241.0
2021-11-09,1844741,1714510,31280,12140389,29342920,14583,5486,63,69291,39334,41483309,108625,0.13425086306098966,98951,5309195.0
2021-11-10,1858309,1720686,31355,12204540,29384766,13568,6176,75,64151,41846,41589306,105997,0.12800362274403992,106268,5336258.0
2021-11-11,1868761,1723689,31426,12268756,29434149,10452,3003,71,64216,49383,41702905,113599,0.09200785218179737,113646,5364787.0
2021-11-12,1883019,1730963,31494,12341884,29500808,14258,7274,68,73128,66659,41842692,139787,0.10199803987495261,120562,5397994.0
