date,positive_total,recovered_total,deceased_total,tested_pcr_total,tested_ag_total,positive_daily,recovered_daily,deceased_daily,tested_pcr_daily,tested_ag_daily,tested_total,tested_daily,positive_ratio,active
2021-10-03,1694637,1657228,30534,10855269,27581984,318,234,4,7976,23736,38437253,31712,0.010027749747729566,6875
2021-10-04,1695439,1657873,30538,10877113,27629947,802,645,4,21844,47963,38507060,69807,0.01148881917286232,7028
2021-10-05,1696549,1658420,30541,10899632,27662850,1110,547,3,22519,32903,38562482,55422,0.020028147666991448,7588
2021-10-06,1697597,1658920,30546,10922541,27702754,1048,500,5,22909,39904,38625295,62813,0.016684444302930923,8131
2021-10-07,1698588,1659395,30549,10947035,27755661,991,475,3,24494,52907,38702696,77401,0.012803452151780985,8644
2021-10-08,1699605,1659923,30553,10974359,27838209,1017,528,4,27324,82548,38812568,109872,0.009256225425950197,9129
2021-10-09,1700271,1660178,30556,10989662,27864447,666,255,3,15303,26238,38854109,41541,0.01603235357839243,9537
2021-10-10,1700607,1660463,30560,10997581,27886842,336,285,4,7919,22395,38884423,30314,0.011083987596490071,9584
2021-10-11,1701950,1661283,30565,11019019,27938185,1343,820,5,21438,51343,38957204,72781,0.018452618128357676,10102
2021-10-12,1703457,1661634,30572,11043780,27972424,1507,351,7,24761,34239,39016204,59000,0.025542372881355933,11251
2021-10-13,1704956,1662692,30578,11075424,28012791,1499,1058,6,31644,40367,39088215,72011,0.020816264181861104,11686
2021-10-14,1706496,1663432,30584,11104622,28068590,1540,740,6,29198,55799,39173212,84997,0.018118286527759802,12480
2021-10-15,1708280,1664261,30594,11136663,28155785,1784,829,10,32041,87195,39292448,119236,0.014961924251065115,13425
2021-10-16,1709438,1664589,30602,11154334,28188497,1158,328,8,17671,32712,39342831,50383,0.022983942996645693,14247
2021-10-17,1710233,1665001,30613,11164593,28212943,795,412,11,10259,24446,39377536,34705,0.022907362051577583,14619
2021-10-18,1712765,1666167,30625,11191837,28268623,2532,1166,12,27244,55680,39460460,82924,0.030533982924123293,15973
2021-10-19,1716015,1667088,30635,11225642,28306918,3250,921,10,33805,38295,39532560,72100,0.04507628294036061,18292
2021-10-20,1719293,1668127,30642,11260083,28354473,3278,1039,7,34441,47555,39614556,81996,0.03997755988096981,20524
2021-10-21,1722936,1669114,30652,11301945,28414810,3643,987,10,41862,60337,39716755,102199,0.03564614135167663,23170
2021-10-22,1727172,1670080,30666,11347334,28508061,4236,966,14,45389,93251,39855395,138640,0.030553952683208308,26426
2021-10-23,1729928,1670556,30679,11377410,28543376,2756,476,13,30076,35315,39920786,65391,0.04214647275618969,28693
2021-10-24,1731765,1671091,30699,11394564,28571496,1837,535,20,17154,28120,39966060,45274,0.04057516455360693,29975
2021-10-25,1736047,1672706,30719,11434992,28635851,4282,1615,20,40428,64355,40070843,104783,0.04086540755656929,32622
2021-10-26,1742335,1674081,30735,11496658,28689016,6288,1375,16,61666,53165,40185674,114831,0.05475873239804582,37519
2021-10-27,1748182,1675631,30757,11560909,28767551,5847,1550,22,64251,78535,40328460,142786,0.04094939279761321,41794
2021-10-28,1752536,1677185,30783,11603140,28799407,4354,1554,26,42231,31856,40402547,74087,0.058768744854022975,44568
2021-10-29,1758285,1678988,30809,11648089,28886254,5749,1803,26,44949,86847,40534343,131796,0.04362044371604601,48488
2021-10-30,1763342,1679810,30832,11686137,28918402,5057,822,23,38048,32148,40604539,70196,0.07204114194540999,52700
2021-10-31,1766114,1680801,30863,11710820,28956434,2772,991,31,24683,38032,40667254,62715,0.044199952164553934,54450
2021-11-01,1773714,1684318,30894,11775041,29004587,7600,3517,31,64221,48153,40779628,112374,0.06763130261448377,58502
2021-11-02,1783626,1687597,30929,11835146,29037819,9912,3279,35,60105,33232,40872965,93337,0.10619582802104204,65100
2021-11-03,1793095,1691198,30974,11877983,29075581,9469,3601,45,42837,37762,40953564,80599,0.11748284718172682,70923
2021-11-04,1801542,1694896,31019,11921667,29116544,8447,3698,45,43684,40963,41038211,84647,0.09979089631056033,75627
2021-11-05,1810784,1699110,31076,11972041,29181821,9242,4214,57,50374,65277,41153862,115651,0.07991284122056878,80598
2021-11-06,1816522,1701206,31126,12007149,29218462,5738,2096,50,35108,36641,41225611,71749,0.07997324004515742,84190
2021-11-07,1819529,1703515,31164,12025436,29243267,3007,2309,38,18287,24805,41268703,43092,0.06978093381602153,84850
2021-11-08,1828792,1710157,31211,12075281,29297402,9263,6642,47,49845,54135,41372683,103980,0.08908443931525294,87424
2021-11-09,1843350,1715699,31271,12144459,29335804,14558,5542,60,69178,38402,41480263,107580,0.13532255065997398,96380
2021-11-10,1856866,1721907,31342,12208588,29376581,13516,6208,71,64129,40777,41585169,104906,0.12883915124015785,103617
2021-11-11,1867279,1725014,31411,12272733,29424709,10413,3107,69,64145,48128,41697442,112273,0.09274714312434869,110854
2021-11-12,1881505,1732376,31479,12345803,29489964,14226,7362,68,73070,65255,41835767,138325,0.10284474968371589,117650
2021-11-13,1890675,1736021,31551,12391779,29524302,9170,3645,72,45976,34338,41916081,80314,0.11417685584082476,123103
2021-11-14,1896338,1739664,31611,12420118,29548324,5663,3643,60,28339,24022,41968442,52361,0.10815301464830694,125063
2021-11-15,1907878,1749846,31700,12486959,29605287,11540,10182,89,66841,56963,42092246,123804,0.09321185099027494,126332
2021-11-16,1930387,1758662,31763,12582362,29653653,22509,8816,63,95403,48366,42236015,143769,0.15656365419527157,139962
2021-11-17,1944530,1759007,31843,12644101,29676499,14143,345,80,61739,22846,42320600,84585,0.16720458710173197,153680
2021-11-18,1957944,1759465,31956,12708327,29724456,13414,458,113,64226,47957,42432783,112183,0.11957248424449338,166523
2021-11-19,1980889,1759874,32044,12799612,29786481,22945,409,88,91285,62025,42586093,153310,0.1496640793164177,188971
2021-11-20,1995291,1760057,32079,12859656,29817172,14402,183,35,60044,30691,42676828,90735,0.15872596021380944,203155
