date,positive_total,recovered_total,deceased_total,tested_pcr_total,tested_ag_total,positive_daily,recovered_daily,deceased_daily,tested_pcr_daily,tested_ag_daily,tested_total,tested_daily,positive_ratio,active
2021-10-09,1700416,1660123,30556,10989668,27864447,666,255,3,15303,26238,38854115,41541,0.01603235357839243,9737
2021-10-10,1700752,1660408,30560,10997587,27886842,336,285,4,7919,22395,38884429,30314,0.011083987596490071,9784
2021-10-11,1702095,1661229,30565,11019025,27938185,1343,821,5,21438,51343,38957210,72781,0.018452618128357676,10301
2021-10-12,1703602,1661580,30572,11043786,27972424,1507,351,7,24761,34239,39016210,59000,0.025542372881355933,11450
2021-10-13,1705101,1662639,30578,11075430,28012791,1499,1059,6,31644,40367,39088221,72011,0.020816264181861104,11884
2021-10-14,1706641,1663379,30584,11104628,28068590,1540,740,6,29198,55799,39173218,84997,0.018118286527759802,12678
2021-10-15,1708425,1664208,30594,11136669,28155785,1784,829,10,32041,87195,39292454,119236,0.014961924251065115,13623
2021-10-16,1709583,1664536,30602,11154340,28188497,1158,328,8,17671,32712,39342837,50383,0.022983942996645693,14445
2021-10-17,1710378,1664948,30613,11164599,28212943,795,412,11,10259,24446,39377542,34705,0.022907362051577583,14817
2021-10-18,1712911,1666114,30625,11191843,28268623,2533,1166,12,27244,55680,39460466,82924,0.030546042159085428,16172
2021-10-19,1716161,1667035,30635,11225648,28306918,3250,921,10,33805,38295,39532566,72100,0.04507628294036061,18491
2021-10-20,1719440,1668074,30642,11260089,28354473,3279,1039,7,34441,47555,39614562,81996,0.03998975559783404,20724
2021-10-21,1723083,1669061,30652,11301951,28414810,3643,987,10,41862,60337,39716761,102199,0.03564614135167663,23370
2021-10-22,1727320,1670031,30666,11347340,28508061,4237,970,14,45389,93251,39855401,138640,0.030561165608770917,26623
2021-10-23,1730076,1670507,30679,11377416,28543376,2756,476,13,30076,35315,39920792,65391,0.04214647275618969,28890
2021-10-24,1731914,1671042,30699,11394570,28571499,1838,535,20,17154,28123,39966069,45277,0.04059456236058043,30173
2021-10-25,1736198,1672659,30719,11435000,28635927,4284,1617,20,40430,64428,40070927,104858,0.04085525186442618,32820
2021-10-26,1742486,1674033,30735,11496667,28689262,6288,1374,16,61667,53335,40185929,115002,0.05467730995982679,37718
2021-10-27,1748336,1675583,30757,11560923,28768030,5850,1550,22,64256,78768,40328953,143024,0.040902226199798636,41996
2021-10-28,1752691,1677138,30783,11603158,28799950,4355,1555,26,42235,31920,40403108,74155,0.05872833928932641,44770
2021-10-29,1758444,1678941,30809,11648110,28886930,5753,1803,26,44952,86980,40535040,131932,0.04360579692568899,48694
2021-10-30,1763502,1679763,30832,11686160,28919090,5058,822,23,38050,32160,40605250,70210,0.07204101979774961,52907
2021-10-31,1766282,1680725,30863,11710846,28957133,2780,962,31,24686,38043,40667979,62729,0.04431762023944268,54694
2021-11-01,1773891,1684149,30894,11775079,29006085,7609,3424,31,64233,48952,40781164,113185,0.06722622255599241,58848
2021-11-02,1783812,1687354,30929,11835190,29039419,9921,3205,35,60111,33334,40874609,93445,0.10616940446251806,65529
2021-11-03,1793284,1690869,30974,11878031,29077279,9472,3515,45,42841,37860,40955310,80701,0.11737153195127693,71441
2021-11-04,1801748,1694482,31019,11921721,29118669,8464,3613,45,43690,41390,41040390,85080,0.09948283968030089,76247
2021-11-05,1810993,1698617,31076,11972112,29184119,9245,4135,57,50391,65450,41156231,115841,0.07980766740618607,81300
2021-11-06,1816732,1700730,31126,12007221,29220818,5739,2113,50,35109,36699,41228039,71808,0.07992145721925134,84876
2021-11-07,1819741,1703052,31165,12025510,29245658,3009,2322,39,18289,24840,41271168,43129,0.06976744186046512,85524
2021-11-08,1829016,1709752,31213,12075359,29300303,9275,6700,48,49849,54645,41375662,104494,0.08876107719103489,88051
2021-11-09,1843582,1715334,31275,12144546,29339244,14566,5582,62,69187,38941,41483790,108128,0.1347107132287659,96973
2021-11-10,1857105,1721597,31350,12208687,29380503,13523,6263,75,64141,41259,41589190,105400,0.12830170777988614,104158
2021-11-11,1867522,1724711,31419,12272860,29429271,10417,3114,69,64173,48768,41702131,112941,0.09223399828228898,111392
2021-11-12,1881752,1732123,31487,12345932,29495107,14230,7412,68,73072,65836,41841039,138908,0.10244190399401043,118142
2021-11-13,1890925,1735802,31560,12391915,29529547,9173,3679,73,45983,34440,41921462,80423,0.11405941086505104,123563
2021-11-14,1896588,1739488,31622,12420258,29553676,5663,3686,62,28343,24129,41973934,52472,0.10792422625400214,125478
2021-11-15,1908124,1749717,31713,12487111,29611975,11536,10229,91,66853,58299,42099086,125152,0.09217591408846842,126694
2021-11-16,1930632,1758597,31782,12582563,29661682,22508,8880,69,95452,49707,42244245,145159,0.15505755757479728,140253
2021-11-17,1944782,1767114,31864,12644325,29685140,14150,8517,82,61762,23458,42329465,85220,0.16604083548462803,145804
2021-11-18,1958192,1775379,31983,12708571,29735295,13410,8265,119,64246,50155,42443866,114401,0.11721925507644164,150830
2021-11-19,1981149,1784636,32093,12800084,29799961,22957,9257,110,91513,64666,42600045,156179,0.14699159297985004,164420
2021-11-20,1995559,1788311,32186,12865770,29833089,14410,3675,93,65686,33128,42698859,98814,0.1458295383245289,175062
2021-11-21,2003815,1792026,32294,12901862,29858757,8256,3715,108,36092,25668,42760619,61760,0.13367875647668392,179495
2021-11-22,2018310,1807978,32400,12979816,29903055,14495,15952,106,77954,44298,42882871,122252,0.11856656741811995,177932
2021-11-23,2044190,1808442,32511,13084121,29930580,25880,464,111,104305,27525,43014701,131830,0.1963134339679891,203237
2021-11-24,2062207,1808896,32603,13184611,29956116,18017,454,92,100490,25536,43140727,126026,0.1429625632805929,220708
2021-11-25,2089959,1809351,32701,13285349,29986540,27752,455,98,100738,30424,43271889,131162,0.21158567267958708,247907
2021-11-26,2110274,1809799,32744,13375549,30012265,20315,448,43,90200,25725,43387814,115925,0.17524261375889583,267731
