name,value
Hlavní město Praha,1485
Středočeský kraj,760
Jihočeský kraj,156
Plzeňský kraj,489
Karlovarský kraj,217
Ústecký kraj,399
Liberecký kraj,184
Královéhradecký kraj,171
Pardubický kraj,229
Kraj Vysočina,164
Jihomoravský kraj,358
Olomoucký kraj,594
Zlínský kraj,263
Moravskoslezský kraj,715
Nezjištěno,32
