date,positive_total,recovered_total,deceased_total,tested_pcr_total,tested_ag_total,positive_daily,recovered_daily,deceased_daily,tested_pcr_daily,tested_ag_daily,tested_total,tested_daily,positive_ratio,active,vaxs_active,vaxs_active_prcs
2021-12-24,2448448,2295035,35876,15505196,31730385,2046,12238,80,20767,4591,47235581,25358,0.08068459657701711,117537,5662810.0,0.5291467015244291
2021-12-25,2449538,2300417,35944,15518814,31735823,1090,5382,68,13618,5438,47254637,19056,0.05719983207388749,113177,5484233.0,0.512460033506585
2021-12-26,2451553,2305344,36029,15539875,31745637,2015,4927,85,21061,9814,47285512,30875,0.06526315789473684,110180,5458729.0,0.5100768778867285
2021-12-27,2458417,2323586,36080,15595720,31770187,6864,18242,51,55845,24550,47365907,80395,0.08537844393308042,98751,5574700.0,0.5209134894139543
2021-12-28,2467495,2336567,36153,15655150,31787991,9078,12981,73,59430,17804,47443141,77234,0.11753890773493539,94775,5552010.0,0.5187932807794444
2021-12-29,2473657,2347101,36228,15699203,31805591,6162,10534,75,44053,17600,47504794,61653,0.09994647462410589,90328,5522467.0,0.5160327112030086
2021-12-30,2479413,2355873,36286,15738784,31822195,5756,8772,58,39581,16604,47560979,56185,0.10244727240366645,87254,5482053.0,0.5122563290190031
2021-12-31,2484411,2364513,36341,15774294,31830696,4998,8640,55,35510,8501,47604990,44011,0.11356251846129377,83557,5404161.0,0.504977911612249
2022-01-01,2485504,2368877,36387,15783008,31834934,1093,4364,46,8714,4238,47617942,12952,0.08438851142680667,80240,5370656.0,0.5018471231459971
2022-01-02,2487435,2372800,36439,15802604,31846510,1931,3923,52,19596,11576,47649114,31172,0.06194661876042602,78196,5361624.0,0.501003151158915
2022-01-03,2496794,2385692,36499,15876052,31888449,9359,12892,60,73448,41939,47764501,115387,0.08110965706708728,74603,5399712.0,0.5045621862612163
2022-01-04,2506974,2394180,36559,15947594,31914307,10180,8488,60,71542,25858,47861901,97400,0.10451745379876796,76235,5451618.0,0.5094124087990247
2022-01-05,2514364,2401826,36599,16001183,31937170,7390,7646,40,53589,22863,47938353,76452,0.09666195782974939,75939,5458223.0,0.5100295960194274
2022-01-06,2521005,2406928,36657,16058449,31961130,6641,5102,58,57266,23960,48019579,81226,0.08175953512422131,77420,5479667.0,0.5120333753917691
2022-01-07,2527680,2407854,36703,16126777,31978371,6675,926,46,68328,17241,48105148,85569,0.07800722224169968,83123,5509262.0,0.5147988039743306
2022-01-08,2531643,2409547,36746,16167148,31985999,3963,1693,43,40371,7628,48153147,47999,0.0825642200879185,85350,5510595.0,0.5149233627275172
2022-01-09,2534407,2412884,36769,16191008,31994419,2764,3337,23,23860,8420,48185427,32280,0.08562577447335812,84754,5505073.0,0.5144073736539269
2022-01-10,2541769,2422965,36812,16262666,32031951,7362,10081,43,71658,37532,48294617,109190,0.06742375675428153,81992,5507956.0,0.5146767681666325
2022-01-11,2554147,2429704,36850,16340731,32054524,12378,6739,38,78065,22573,48395255,100638,0.12299529004948428,87593,5517943.0,0.5156099776700636
2022-01-12,2565615,2435175,36891,16406105,32075144,11468,5471,41,65374,20620,48481249,85994,0.1333581412656697,93549,5525346.0,0.5163017319460124
2022-01-13,2577308,2440755,36924,16476182,32099229,11693,5580,33,70077,24085,48575411,94162,0.12417960536097364,99629,5537019.0,0.5173924853788301
2022-01-14,2590537,2444003,36957,16557874,32118411,13229,3248,33,81692,19182,48676285,100874,0.1311438031603783,109577,5547716.0,0.5183920390043635
