date,positive_total,recovered_total,deceased_total,tested_pcr_total,tested_ag_total,positive_daily,recovered_daily,deceased_daily,tested_pcr_daily,tested_ag_daily,tested_total,tested_daily,positive_ratio,active
2021-10-18,1713139,1666076,30625,11191926,28268623,2534,1167,12,27244,55680,39460549,82924,0.030558101394047563,16438
2021-10-19,1716388,1666997,30635,11225734,28306918,3249,921,10,33808,38295,39532652,72103,0.04506053839646062,18756
2021-10-20,1719667,1668036,30642,11260175,28354473,3279,1039,7,34441,47555,39614648,81996,0.03998975559783404,20989
2021-10-21,1723311,1669023,30652,11302037,28414810,3644,987,10,41862,60337,39716847,102199,0.035655926183230754,23636
2021-10-22,1727550,1669993,30666,11347431,28508061,4239,970,14,45394,93251,39855492,138645,0.030574488802336902,26891
2021-10-23,1730306,1670469,30679,11377511,28543376,2756,476,13,30080,35315,39920887,65395,0.042143894793179905,29158
2021-10-24,1732144,1671004,30699,11394668,28571499,1838,535,20,17157,28123,39966167,45280,0.040591872791519434,30441
2021-10-25,1736429,1672620,30719,11435100,28635927,4285,1616,20,40432,64428,40071027,104860,0.04086400915506389,33090
2021-10-26,1742718,1673994,30735,11496804,28689262,6289,1374,16,61704,53335,40186066,115039,0.05466841679778162,37989
2021-10-27,1748581,1675546,30757,11561084,28768030,5863,1552,22,64280,78768,40329114,143048,0.04098624238018008,42278
2021-10-28,1752937,1677101,30783,11603592,28799950,4356,1555,26,42508,31920,40403542,74428,0.05852636104691783,45053
2021-10-29,1758691,1678904,30809,11648560,28886934,5754,1803,26,44968,86984,40535494,131952,0.04360676609676246,48978
2021-10-30,1763749,1679727,30832,11686612,28919094,5058,823,23,38052,32160,40605706,70212,0.07203896769782943,53190
2021-10-31,1766536,1680689,30863,11711299,28957154,2787,962,31,24687,38060,40668453,62747,0.04441646612587056,54984
2021-11-01,1774146,1684115,30894,11775533,29006339,7610,3426,31,64234,49185,40781872,113419,0.06709634188275333,59137
2021-11-02,1784076,1687321,30929,11835707,29040025,9930,3206,35,60174,33686,40875732,93860,0.10579586618367781,65826
2021-11-03,1793550,1690841,30974,11878551,29078129,9474,3520,45,42844,38104,40956680,80948,0.11703809853239117,71735
2021-11-04,1802021,1694456,31019,11922242,29120485,8471,3615,45,43691,42356,41042727,86047,0.09844619800806537,76546
2021-11-05,1811269,1698595,31076,11972639,29186307,9248,4139,57,50397,65822,41158946,116219,0.07957390788081123,81598
2021-11-06,1817010,1700657,31126,12007749,29223051,5741,2062,50,35110,36744,41230800,71854,0.0798981267570351,85227
2021-11-07,1820019,1702961,31165,12026040,29247938,3009,2304,39,18291,24887,41273978,43178,0.06968826717309741,85893
2021-11-08,1829303,1709498,31213,12075893,29303421,9284,6537,48,49853,55483,41379314,105336,0.08813700918964076,88592
2021-11-09,1843874,1714971,31275,12145181,29342690,14571,5473,62,69288,39269,41487871,108557,0.13422441666589902,97628
2021-11-10,1857416,1721140,31350,12209329,29384265,13542,6169,75,64148,41575,41593594,105723,0.12808944127578673,104926
2021-11-11,1867852,1724140,31421,12273533,29433311,10436,3000,71,64204,49046,41706844,113250,0.09215011037527594,112291
2021-11-12,1882095,1731401,31489,12346661,29499644,14243,7261,68,73128,66333,41846305,139461,0.10212891059149153,119205
2021-11-13,1891274,1735055,31563,12392677,29534208,9179,3654,74,46016,34564,41926885,80580,0.11391164060560934,124656
2021-11-14,1896949,1738738,31625,12421041,29558408,5675,3683,62,28364,24200,41979449,52564,0.10796362529487863,126586
2021-11-15,1908494,1749080,31717,12487908,29618135,11545,10342,92,66867,59727,42106043,126594,0.09119705515269286,127697
2021-11-16,1931012,1758046,31786,12583525,29669146,22518,8966,69,95617,51011,42252671,146628,0.15357230542597594,141180
2021-11-17,1945169,1766658,31868,12645411,29692916,14157,8612,82,61886,23770,42338327,85656,0.1652773886242645,146643
2021-11-18,1958603,1774992,31988,12709715,29744331,13434,8334,120,64304,51415,42454046,115719,0.11609156663987763,151623
2021-11-19,1981567,1784316,32098,12801367,29810198,22964,9324,110,91652,65867,42611565,157519,0.1457855877703642,165153
2021-11-20,1995977,1788027,32192,12867191,29843511,14410,3711,94,65824,33313,42710702,99137,0.14535440854574982,175758
2021-11-21,2004234,1791779,32303,12903285,29869455,8257,3752,111,36094,25944,42772740,62038,0.13309584448241402,180152
2021-11-22,2018733,1807822,32412,12981424,29916381,14499,16043,109,78139,46926,42897805,125065,0.11593171550793588,178499
2021-11-23,2044624,1821043,32527,13086176,29945362,25891,13221,115,104752,28981,43031538,133733,0.1936021774730246,191054
