date,positive_total,recovered_total,deceased_total,tested_pcr_total,tested_ag_total,positive_daily,recovered_daily,deceased_daily,tested_pcr_daily,tested_ag_daily,tested_total,tested_daily,positive_ratio,active,vaxs_active,vaxs_active_prcs
2021-11-10,1859870,1719799,31353,12204540,29384766,13571,6175,75,64151,41846,41589306,105997,0.12803192543185185,108718,5338675.0,0.49885874093620153
2021-11-11,1870324,1722800,31424,12268756,29434149,10454,3001,71,64216,49383,41702905,113599,0.09202545797058073,116100,5367205.0,0.5015246533356096
2021-11-12,1884584,1730071,31492,12341884,29500808,14260,7271,68,73128,66659,41842692,139787,0.10201234735705036,123021,5400417.0,0.5046280631711911
2021-11-13,1893767,1733731,31566,12387903,29535397,9183,3660,74,46019,34589,41923300,80608,0.11392169511710996,128470,5406356.0,0.5051830177362133
2021-11-14,1899465,1737415,31628,12416275,29559633,5698,3684,62,28372,24236,41975908,52608,0.10831052311435523,130422,5410304.0,0.5055519284320725
2021-11-15,1911027,1747574,31721,12483147,29619810,11562,10159,93,66872,60177,42102957,127049,0.09100425819959228,131732,5436399.0,0.5079903085253973
2021-11-16,1933566,1756346,31791,12578788,29671332,22539,8772,70,95641,51522,42250120,147163,0.15315670379103444,145429,5461842.0,0.5103677641572983
2021-11-17,1947763,1764920,31873,12640681,29695281,14197,8574,82,61893,23949,42335962,85842,0.16538524265511056,150970,5454203.0,0.5096539574689325
2021-11-18,1961281,1773109,31993,12705044,29747519,13518,8189,120,64363,52238,42452563,116601,0.115933825610415,156179,5465658.0,0.5107243404529921
2021-11-19,1984253,1782286,32106,12796709,29813877,22972,9177,113,91665,66358,42610586,158023,0.1453712434265898,169861,5481369.0,0.5121924143999637
2021-11-20,1998667,1785936,32202,12862537,29847231,14414,3650,96,65828,33354,42709768,99182,0.1453287894980944,180529,5479793.0,0.5120451491373815
2021-11-21,2006945,1789673,32315,12898652,29873218,8278,3737,113,36115,25987,42771870,62102,0.13329683424044314,184957,5476404.0,0.5117284727573748
2021-11-22,2021463,1805594,32426,12976812,29921127,14518,15921,111,78160,47909,42897939,126069,0.1151591588733154,183443,5479654.0,0.5120321606402376
2021-11-23,2047375,1818755,32541,13081588,29951131,25912,13161,115,104776,30004,43032719,134780,0.19225404362665083,196079,5486198.0,0.512643647872685
2021-11-24,2065421,1831369,32634,13183063,29978872,18046,12614,93,101475,27741,43161935,129216,0.13965762753838534,201418,5493900.0,0.5133633414338572
2021-11-25,2093358,1843913,32748,13284131,30014499,27937,12544,114,101068,35627,43298630,136695,0.20437470280551592,216697,5496664.0,0.5136216162979288
2021-11-26,2113740,1857021,32866,13384086,30043867,20382,13108,118,99955,29368,43427953,129323,0.15760537568723273,223853,5505907.0,0.5144853046367907
2021-11-27,2126268,1862778,32961,13458530,30051767,12528,5757,95,74444,7900,43510297,82344,0.1521422325852521,230529,5501379.0,0.5140621973341437
2021-11-28,2135575,1868598,33081,13508423,30062042,9307,5820,120,49893,10275,43570465,60168,0.15468355271905332,233896,5496896.0,0.513643294940644
2021-11-29,2153192,1890860,33189,13595577,30110207,17617,22262,108,87154,48165,43705784,135319,0.1301886653019901,229143,5502961.0,0.5142100232512787
2021-11-30,2175216,1909994,33309,13709676,30138074,22024,19134,120,114099,27867,43847750,141966,0.1551357367256949,231913,5517813.0,0.515597830154749
2021-12-01,2196369,1918413,33449,13810312,30163498,21153,8419,140,100636,25424,43973810,126060,0.16780104712041885,244507,5541888.0,0.5178474565485713
2021-12-02,2214992,1938800,33574,13911565,30194247,18623,20387,125,101253,30749,44105812,132002,0.1410811957394585,242618,5569901.0,0.5204650592139978
2021-12-03,2232677,1959267,33693,14011478,30219324,17685,20467,119,99913,25077,44230802,124990,0.14149131930554446,239717,5606942.0,0.5239262600968044
2021-12-04,2243659,1968393,33802,14083351,30226696,10982,9126,109,71873,7372,44310047,79245,0.13858287589122342,241464,5617795.0,0.5249403907407153
2021-12-05,2249993,1976842,33912,14122629,30235396,6334,8449,110,39278,8700,44358025,47978,0.1320188419692359,239239,5623131.0,0.5254389995231633
2021-12-06,2265573,2003779,34035,14209891,30275552,15580,26937,123,87262,40156,44485443,127418,0.1222747178577595,227759,5648072.0,0.5277695470574654
2021-12-07,2285106,2028652,34145,14314115,30299206,19533,24873,110,104224,23654,44613321,127878,0.1527471496269882,222309,5685336.0,0.5312515856011576
2021-12-08,2301315,2049432,34258,14402912,30323373,16209,20780,113,88797,24167,44726285,112964,0.1434881909280833,217625,5710941.0,0.5336441789059891
