date,positive_total,recovered_total,deceased_total,tested_pcr_total,tested_ag_total,positive_daily,recovered_daily,deceased_daily,tested_pcr_daily,tested_ag_daily,tested_total,tested_daily,positive_ratio,active,vaxs_active,vaxs_active_prcs
2021-11-05,1813323,1697425,31076,11967844,29186327,9256,4143,57,50397,65822,41154171,116219,0.07964274344126175,84822,5247321.0,0.49032240159741697
2021-11-06,1819067,1699488,31128,12002954,29223071,5744,2063,52,35110,36744,41226025,71854,0.07993987808611908,88451,5254145.0,0.4909600527090034
2021-11-07,1822079,1701791,31167,12021245,29247970,3012,2303,39,18291,24899,41269215,43190,0.0697383653623524,89121,5258543.0,0.4913710124963359
2021-11-08,1831367,1708331,31215,12071098,29303586,9288,6540,48,49853,55616,41374684,105469,0.08806379125619851,91821,5284653.0,0.493810794226043
2021-11-09,1845950,1713817,31278,12140389,29342920,14583,5486,63,69291,39334,41483309,108625,0.13425086306098966,100855,5311604.0,0.4963291610355925
2021-11-10,1859521,1719992,31353,12204540,29384766,13571,6175,75,64151,41846,41589306,105997,0.12803192543185185,108176,5338672.0,0.498858460608925
2021-11-11,1869975,1722994,31424,12268756,29434149,10454,3002,71,64216,49383,41702905,113599,0.09202545797058073,115557,5367201.0,0.5015242795659076
2021-11-12,1884235,1730265,31492,12341884,29500808,14260,7271,68,73128,66659,41842692,139787,0.10201234735705036,122478,5400414.0,0.5046277828439146
2021-11-13,1893418,1733925,31566,12387903,29535397,9183,3660,74,46019,34589,41923300,80608,0.11392169511710996,127927,5406352.0,0.5051826439665114
2021-11-14,1899116,1737611,31628,12416275,29559633,5698,3686,62,28372,24236,41975908,52608,0.10831052311435523,129877,5410303.0,0.5055518349896471
2021-11-15,1910678,1747770,31721,12483147,29619810,11562,10159,93,66872,60177,42102957,127049,0.09100425819959228,131187,5436395.0,0.5079899347556952
2021-11-16,1933215,1756542,31791,12578788,29671332,22537,8772,70,95641,51522,42250120,147163,0.15314311341845438,144882,5461833.0,0.510366923175469
2021-11-17,1947411,1765116,31873,12640681,29695281,14196,8574,82,61893,23949,42335962,85842,0.1653735933459146,150422,5454194.0,0.509653116487103
2021-11-18,1960929,1773305,31993,12705044,29747519,13518,8189,120,64363,52238,42452563,116601,0.115933825610415,155631,5465647.0,0.5107233125863117
2021-11-19,1983901,1782483,32106,12796709,29813877,22972,9178,113,91665,66358,42610586,158023,0.1453712434265898,169312,5481362.0,0.5121917603029852
2021-11-20,1998315,1786133,32202,12862537,29847231,14414,3650,96,65828,33354,42709768,99182,0.1453287894980944,179980,5479784.0,0.5120443081555521
2021-11-21,2006593,1789870,32315,12898652,29873218,8278,3737,113,36115,25987,42771870,62102,0.13329683424044314,184408,5476393.0,0.5117274448906943
2021-11-22,2021111,1805791,32426,12976812,29921127,14518,15921,111,78160,47909,42897939,126069,0.1151591588733154,182894,5479649.0,0.5120316934281102
2021-11-23,2047023,1818952,32541,13081588,29951131,25912,13161,115,104776,30004,43032719,134780,0.19225404362665083,195530,5486195.0,0.5126433675454086
2021-11-24,2065069,1831566,32634,13183063,29978872,18046,12614,93,101475,27741,43161935,129216,0.13965762753838534,200869,5493889.0,0.5133623135671768
2021-11-25,2093006,1844110,32748,13284131,30014499,27937,12544,114,101068,35627,43298630,136695,0.20437470280551592,216148,5496649.0,0.5136202146615464
2021-11-26,2113385,1857219,32866,13384086,30043867,20379,13109,118,99955,29368,43427953,129323,0.15758217795751722,223300,5505890.0,0.5144837161155572
2021-11-27,2125913,1862976,32961,13458530,30051767,12528,5757,95,74444,7900,43510297,82344,0.1521422325852521,229976,5501363.0,0.5140607022553357
2021-11-28,2135219,1868796,33081,13508423,30062042,9306,5820,120,49893,10275,43570465,60168,0.1546669325887515,233342,5496879.0,0.5136417064194105
2021-11-29,2152834,1891058,33189,13595577,30110207,17615,22262,108,87154,48165,43705784,135319,0.1301738854115091,228587,5502944.0,0.5142084347300453
2021-11-30,2174858,1910194,33309,13709676,30138074,22024,19136,120,114099,27867,43847750,141966,0.1551357367256949,231355,5517788.0,0.5155954940941117
2021-12-01,2196011,1918613,33449,13810312,30163498,21153,8419,140,100636,25424,43973810,126060,0.16780104712041885,243949,5541859.0,0.5178447467182319
2021-12-02,2214633,1939001,33574,13911565,30194247,18622,20388,125,101253,30749,44105812,132002,0.14107362009666521,242058,5569868.0,0.5204619756139565
2021-12-03,2232317,1959468,33693,14011478,30219324,17684,20467,119,99913,25077,44230802,124990,0.14148331866549324,239156,5606898.0,0.5239221486300827
2021-12-04,2243299,1968594,33802,14083351,30226696,10982,9126,109,71873,7372,44310047,79245,0.13858287589122342,240903,5617755.0,0.5249366530436954
2021-12-05,2249633,1977043,33912,14122629,30235396,6334,8449,110,39278,8700,44358025,47978,0.1320188419692359,238678,5623096.0,0.525435729038271
2021-12-06,2265213,2003980,34035,14209891,30275552,15580,26937,123,87262,40156,44485443,127418,0.1222747178577595,227198,5648028.0,0.5277654355907435
2021-12-07,2284746,2028853,34145,14314115,30299206,19533,24873,110,104224,23654,44613321,127878,0.1527471496269882,221748,5685283.0,0.5312466331526063
2021-12-08,2300954,2049634,34258,14402912,30323373,16208,20781,113,88797,24167,44726285,112964,0.14347933855033462,217062,5710879.0,0.5336383854756084
