date,positive_total,recovered_total,deceased_total,tested_pcr_total,tested_ag_total,positive_daily,recovered_daily,deceased_daily,tested_pcr_daily,tested_ag_daily,tested_total,tested_daily,positive_ratio,active
2021-10-17,1710595,1664913,30613,11164682,28212943,795,412,11,10260,24446,39377625,34706,0.022906702011179624,15069
2021-10-18,1713129,1666080,30625,11191926,28268623,2534,1167,12,27244,55680,39460549,82924,0.030558101394047563,16424
2021-10-19,1716378,1667001,30635,11225734,28306918,3249,921,10,33808,38295,39532652,72103,0.04506053839646062,18742
2021-10-20,1719657,1668040,30642,11260175,28354473,3279,1039,7,34441,47555,39614648,81996,0.03998975559783404,20975
2021-10-21,1723301,1669027,30652,11302037,28414810,3644,987,10,41862,60337,39716847,102199,0.035655926183230754,23622
2021-10-22,1727540,1669997,30666,11347431,28508061,4239,970,14,45394,93251,39855492,138645,0.030574488802336902,26877
2021-10-23,1730296,1670473,30679,11377511,28543376,2756,476,13,30080,35315,39920887,65395,0.042143894793179905,29144
2021-10-24,1732134,1671008,30699,11394668,28571499,1838,535,20,17157,28123,39966167,45280,0.040591872791519434,30427
2021-10-25,1736419,1672624,30719,11435100,28635927,4285,1616,20,40432,64428,40071027,104860,0.04086400915506389,33076
2021-10-26,1742708,1673998,30735,11496804,28689262,6289,1374,16,61704,53335,40186066,115039,0.05466841679778162,37975
2021-10-27,1748571,1675550,30757,11561084,28768030,5863,1552,22,64280,78768,40329114,143048,0.04098624238018008,42264
2021-10-28,1752927,1677105,30783,11603592,28799950,4356,1555,26,42508,31920,40403542,74428,0.05852636104691783,45039
2021-10-29,1758681,1678908,30809,11648560,28886934,5754,1803,26,44968,86984,40535494,131952,0.04360676609676246,48964
2021-10-30,1763739,1679731,30832,11686612,28919094,5058,823,23,38052,32160,40605706,70212,0.07203896769782943,53176
2021-10-31,1766526,1680693,30863,11711299,28957154,2787,962,31,24687,38060,40668453,62747,0.04441646612587056,54970
2021-11-01,1774136,1684119,30894,11775533,29006339,7610,3426,31,64234,49185,40781872,113419,0.06709634188275333,59123
2021-11-02,1784066,1687325,30929,11835707,29040025,9930,3206,35,60174,33686,40875732,93860,0.10579586618367781,65812
2021-11-03,1793540,1690845,30974,11878551,29078129,9474,3520,45,42844,38104,40956680,80948,0.11703809853239117,71721
2021-11-04,1802011,1694459,31019,11922242,29120485,8471,3614,45,43691,42356,41042727,86047,0.09844619800806537,76533
2021-11-05,1811259,1698598,31076,11972639,29186307,9248,4139,57,50397,65822,41158946,116219,0.07957390788081123,81585
2021-11-06,1817000,1700658,31126,12007749,29223047,5741,2060,50,35110,36740,41230796,71850,0.07990257480862908,85216
2021-11-07,1820009,1702962,31165,12026040,29247924,3009,2304,39,18291,24877,41273964,43168,0.06970441067457375,85882
2021-11-08,1829293,1709499,31213,12075893,29303403,9284,6537,48,49853,55479,41379296,105332,0.0881403562070406,88581
