date,positive_total,recovered_total,deceased_total,tested_pcr_total,tested_ag_total,positive_daily,recovered_daily,deceased_daily,tested_pcr_daily,tested_ag_daily,tested_total,tested_daily,positive_ratio,active,vaxs_active
2021-10-20,1720389,1667601,30642,11255829,28354493,3278,1039,7,34441,47555,39610322,81996,0.03997755988096981,22146,5026340.0
2021-10-21,1724033,1668588,30652,11297691,28414830,3644,987,10,41862,60337,39712521,102199,0.035655926183230754,24793,5031263.0
2021-10-22,1728271,1669558,30666,11343080,28508081,4238,970,14,45389,93251,39851161,138640,0.030568378534333526,28047,5043988.0
2021-10-23,1731027,1670034,30679,11373156,28543396,2756,476,13,30076,35315,39916552,65391,0.04214647275618969,30314,5042108.0
2021-10-24,1732866,1670569,30700,11390310,28571519,1839,535,21,17154,28123,39961829,45277,0.04061664862954701,31597,5040159.0
2021-10-25,1737153,1672185,30720,11430738,28635947,4287,1616,20,40428,64428,40066685,104856,0.040884641794460976,34248,5056677.0
2021-10-26,1743443,1673559,30736,11492405,28689282,6290,1374,16,61667,53335,40181687,115002,0.0546947009617224,39148,5072632.0
2021-10-27,1749308,1675111,30757,11556661,28768050,5865,1552,21,64256,78768,40324711,143024,0.04100710370287504,43440,5091668.0
2021-10-28,1753665,1676665,30783,11598896,28799970,4357,1554,26,42235,31920,40398866,74155,0.05875530982401726,46217,5082574.0
2021-10-29,1759422,1678468,30809,11643848,28886954,5757,1803,26,44952,86984,40530802,131936,0.04363479262672811,50145,5100384.0
2021-10-30,1764481,1679291,30833,11681898,28919114,5059,823,24,38050,32160,40601012,70210,0.07205526278307933,54357,5102116.0
2021-10-31,1767273,1680254,30864,11706567,28957174,2792,963,31,24669,38060,40663741,62729,0.04450891931961294,56155,5104278.0
2021-11-01,1774888,1683681,30895,11770799,29006359,7615,3427,31,64232,49185,40777158,113417,0.0671416101642611,60312,5128634.0
2021-11-02,1784828,1686887,30931,11830912,29040045,9940,3206,36,60113,33686,40870957,93799,0.10597127901150333,67010,5153054.0
2021-11-03,1794311,1690407,30976,11873756,29078149,9483,3520,45,42844,38104,40951905,80948,0.11714928101991402,72928,5181237.0
2021-11-04,1802804,1694019,31021,11917447,29120505,8493,3612,45,43691,42356,41037952,86047,0.09870187223261706,77764,5211210.0
2021-11-05,1812059,1698162,31078,11967844,29186327,9255,4143,57,50397,65822,41154171,116219,0.07963413899620544,82819,5244727.0
2021-11-06,1817803,1700225,31130,12002954,29223071,5744,2063,52,35110,36744,41226025,71854,0.07993987808611908,86448,5251547.0
2021-11-07,1820814,1702529,31169,12021245,29247970,3011,2304,39,18291,24899,41269215,43190,0.06971521185459598,87116,5255947.0
2021-11-08,1830101,1709069,31217,12071098,29303586,9287,6540,48,49853,55616,41374684,105469,0.08805430979719159,89815,5282056.0
2021-11-09,1844684,1714555,31280,12140389,29342920,14583,5486,63,69291,39334,41483309,108625,0.13425086306098966,98849,5309008.0
2021-11-10,1858252,1720731,31355,12204540,29384766,13568,6176,75,64151,41846,41589306,105997,0.12800362274403992,106166,5336075.0
2021-11-11,1868703,1723734,31426,12268756,29434149,10451,3003,71,64216,49383,41702905,113599,0.0919990492874057,113543,5364602.0
