date,positive_total,recovered_total,deceased_total,tested_pcr_total,tested_ag_total,positive_daily,recovered_daily,deceased_daily,tested_pcr_daily,tested_ag_daily,tested_total,tested_daily,positive_ratio,active,vaxs_active,vaxs_active_prcs
2021-12-11,2338087,2095616,34638,14640412,30382370,9086,8293,100,62679,7104,45022782,69783,0.13020363125689638,207833,5774442.0,0.5395778663674267
2021-12-12,2342216,2103268,34762,14668794,30390678,4129,7652,124,28382,8308,45059472,36690,0.11253747615153993,204186,5775810.0,0.5397056956055055
2021-12-13,2354122,2130282,34877,14751747,30427554,11906,27014,115,82953,36876,45179301,119829,0.09935825217601749,188963,5776955.0,0.5398126871826987
2021-12-14,2370831,2150970,34991,14848526,30450752,16709,20688,114,96779,23198,45299278,119977,0.1392683597689557,184870,5792771.0,0.5412905725843474
2021-12-15,2382449,2169720,35115,14924010,30474321,11618,18750,124,75484,23569,45398331,99053,0.11729074333942435,177614,5803125.0,0.5422580754579356
2021-12-16,2391950,2186847,35212,15002497,30504149,9501,17127,97,78487,29828,45506646,108315,0.08771638277246918,169891,5811513.0,0.5430418705229982
2021-12-17,2400912,2203280,35305,15079421,30528755,8962,16433,93,76924,24606,45608176,101530,0.08826947700187136,162327,5823841.0,0.5441938287445159
2021-12-18,2406897,2210395,35409,15129202,30538939,5985,7115,104,49781,10184,45668141,59965,0.0998082214625198,161093,5824526.0,0.5442578368059809
2021-12-19,2410642,2216796,35479,15158926,30549035,3745,6401,70,29724,10096,45707961,39820,0.09404821697639378,158367,5820333.0,0.5438660327158751
2021-12-20,2419242,2239147,35559,15232318,30582391,8600,22351,80,73392,33356,45814709,106748,0.08056357027766328,144536,5821107.0,0.5439383571532093
2021-12-21,2431088,2255673,35640,15314879,30604329,11846,16526,81,82561,21938,45919208,104499,0.1133599364587221,139775,5819569.0,0.543794642702796
2021-12-22,2438784,2270439,35724,15393635,30624503,7696,14766,84,78756,20174,46018138,98930,0.07779237844940867,132621,5804221.0,0.5423604883562795
2021-12-23,2446145,2282921,35784,15483003,30640808,7361,12482,60,89368,16305,46123811,105673,0.06965828546553993,127440,5747767.0,0.5370852896673142
2021-12-24,2448191,2295161,35864,15503769,30645364,2046,12240,80,20766,4556,46149133,25322,0.08079930495221546,117166,5662486.0,0.5291164261785682
2021-12-25,2449281,2300543,35932,15517386,30650787,1090,5382,68,13617,5423,46168173,19040,0.05724789915966386,112806,5483911.0,0.5124299450455752
2021-12-26,2451296,2305471,36017,15538447,30660597,2015,4928,85,21061,9810,46199044,30871,0.06527161413624437,109808,5458404.0,0.5100465090984423
2021-12-27,2458160,2323713,36068,15594291,30684999,6864,18242,51,55844,24402,46279290,80246,0.08553697380554794,98379,5574372.0,0.5208828402983916
2021-12-28,2467238,2336694,36140,15653719,30702628,9078,12981,72,59428,17629,46356347,77057,0.1178088947143024,94404,5551673.0,0.5187617906820522
2021-12-29,2473398,2347228,36215,15697769,30720173,6160,10534,75,44050,17545,46417942,61595,0.10000811754200828,89955,5522128.0,0.5160010342207654
2021-12-30,2479154,2356000,36273,15737349,30736726,5756,8772,58,39580,16553,46474075,56133,0.10254217661625069,86881,5481719.0,0.5122251192488874
2021-12-31,2484152,2364641,36328,15772857,30745136,4998,8641,55,35508,8410,46517993,43918,0.11380299649346509,83183,5403838.0,0.5049477297088137
2022-01-01,2485245,2369006,36374,15781562,30749345,1093,4365,46,8705,4209,46530907,12914,0.08463682824841258,79865,5370334.0,0.5018170346849874
2022-01-02,2487176,2372929,36425,15801157,30760895,1931,3923,51,19595,11550,46562052,31145,0.062000321078824853,77822,5361301.0,0.5009729692554797
2022-01-03,2496534,2385821,36485,15874605,30801658,9358,12892,60,73448,40763,46676263,114211,0.08193606570295331,74228,5399386.0,0.5045317240305045
2022-01-04,2506714,2394308,36545,15946144,30827160,10180,8487,60,71539,25502,46773304,97041,0.10490411269463423,75861,5451292.0,0.5093819465683129
2022-01-05,2514103,2401955,36584,15999727,30849882,7389,7647,39,53583,22722,46849609,76305,0.09683506978572833,75564,5457891.0,0.5099985731341626
2022-01-06,2520744,2407056,36642,16056992,30873407,6641,5101,58,57265,23525,46930399,80790,0.0822007674217106,77046,5479337.0,0.5120025393913553
2022-01-07,2527418,2407982,36688,16125320,30890522,6674,926,46,68328,17115,47015842,85443,0.07811055323431995,82748,5508932.0,0.5147679679739169
2022-01-08,2531381,2409675,36731,16165691,30898121,3963,1693,43,40371,7599,47063812,47970,0.08261413383364603,84975,5510268.0,0.5148928070543799
