date,positive_total,recovered_total,deceased_total,tested_pcr_total,tested_ag_total,positive_daily,recovered_daily,deceased_daily,tested_pcr_daily,tested_ag_daily,tested_total,tested_daily,positive_ratio,active,vaxs_active
2021-10-17,1711192,1664585,30613,11160339,28212963,796,412,11,10259,24446,39373302,34705,0.02293617634346636,15994,5034842.0
2021-10-18,1713730,1665752,30625,11187583,28268643,2538,1167,12,27244,55680,39456226,82924,0.0306063383338961,17353,5028556.0
2021-10-19,1716979,1666673,30635,11221388,28306938,3249,921,10,33805,38295,39528326,72100,0.045062413314840497,19671,5023265.0
2021-10-20,1720257,1667712,30642,11255829,28354493,3278,1039,7,34441,47555,39610322,81996,0.03997755988096981,21903,5025755.0
2021-10-21,1723901,1668699,30652,11297691,28414830,3644,987,10,41862,60337,39712521,102199,0.035655926183230754,24550,5030675.0
2021-10-22,1728139,1669669,30666,11343080,28508081,4238,970,14,45389,93251,39851161,138640,0.030568378534333526,27804,5043402.0
2021-10-23,1730895,1670145,30679,11373156,28543396,2756,476,13,30076,35315,39916552,65391,0.04214647275618969,30071,5041524.0
2021-10-24,1732734,1670680,30700,11390310,28571519,1839,535,21,17154,28123,39961829,45277,0.04061664862954701,31354,5039577.0
2021-10-25,1737021,1672296,30720,11430738,28635947,4287,1616,20,40428,64428,40066685,104856,0.040884641794460976,34005,5056093.0
2021-10-26,1743312,1673670,30736,11492405,28689282,6291,1374,16,61667,53335,40181687,115002,0.054703396462670216,38906,5072046.0
2021-10-27,1749177,1675222,30757,11556661,28768050,5865,1552,21,64256,78768,40324711,143024,0.04100710370287504,43198,5091084.0
2021-10-28,1753534,1676776,30783,11598896,28799970,4357,1554,26,42235,31920,40398866,74155,0.05875530982401726,45975,5081992.0
2021-10-29,1759291,1678579,30809,11643848,28886954,5757,1803,26,44952,86984,40530802,131936,0.04363479262672811,49903,5099805.0
2021-10-30,1764349,1679402,30833,11681898,28919114,5058,823,24,38050,32160,40601012,70210,0.07204101979774961,54114,5101537.0
2021-10-31,1767141,1680365,30864,11706567,28957174,2792,963,31,24669,38060,40663741,62729,0.04450891931961294,55912,5103700.0
2021-11-01,1774756,1683792,30895,11770799,29006359,7615,3427,31,64232,49185,40777158,113417,0.0671416101642611,60069,5128059.0
2021-11-02,1784696,1686998,30931,11830912,29040045,9940,3206,36,60113,33686,40870957,93799,0.10597127901150333,66767,5152478.0
2021-11-03,1794179,1690518,30976,11873756,29078149,9483,3520,45,42844,38104,40951905,80948,0.11714928101991402,72685,5180662.0
2021-11-04,1802671,1694130,31021,11917447,29120505,8492,3612,45,43691,42356,41037952,86047,0.09869025067695562,77520,5210631.0
2021-11-05,1811926,1698273,31078,11967844,29186327,9255,4143,57,50397,65822,41154171,116219,0.07963413899620544,82575,5244145.0
2021-11-06,1817670,1700336,31130,12002954,29223071,5744,2063,52,35110,36744,41226025,71854,0.07993987808611908,86204,5250966.0
2021-11-07,1820681,1702641,31169,12021245,29247970,3011,2305,39,18291,24899,41269215,43190,0.06971521185459598,86871,5255368.0
2021-11-08,1829969,1709181,31217,12071098,29303586,9288,6540,48,49853,55616,41374684,105469,0.08806379125619851,89571,5281476.0
2021-11-09,1844552,1714667,31280,12140389,29342920,14583,5486,63,69291,39334,41483309,108625,0.13425086306098966,98605,5308429.0
2021-11-10,1858119,1720843,31355,12204540,29384766,13567,6176,75,64151,41846,41589306,105997,0.1279941885147693,105921,5335496.0
2021-11-11,1868570,1723846,31426,12268756,29434149,10451,3003,71,64216,49383,41702905,113599,0.0919990492874057,113298,5364023.0
2021-11-12,1882829,1731120,31494,12341884,29500808,14259,7274,68,73128,66659,41842692,139787,0.1020051936160015,120215,5397229.0
2021-11-13,1892009,1734779,31568,12387903,29535397,9180,3659,74,46019,34589,41923300,80608,0.1138844779674474,125662,5403170.0
2021-11-14,1897705,1738465,31630,12416275,29559633,5696,3686,62,28372,24236,41975908,52608,0.10827250608272507,127610,5407124.0
2021-11-15,1909267,1748623,31723,12483147,29619810,11562,10158,93,66872,60177,42102957,127049,0.09100425819959228,128921,5433219.0
2021-11-16,1931802,1757394,31792,12578788,29671332,22535,8771,69,95641,51522,42250120,147163,0.1531295230458743,142616,5458654.0
2021-11-17,1945987,1765970,31874,12640681,29695281,14185,8576,82,61893,23949,42335962,85842,0.16524545094475898,148143,5451021.0
2021-11-18,1959499,1774159,31994,12705044,29747519,13512,8189,120,64363,52238,42452563,116601,0.11588236807574549,153346,5462470.0
2021-11-19,1982469,1783336,32107,12796709,29813877,22970,9177,113,91665,66358,42610586,158023,0.14535858704112692,167026,5478185.0
2021-11-20,1996883,1786986,32203,12862537,29847231,14414,3650,96,65828,33354,42709768,99182,0.1453287894980944,177694,5476613.0
2021-11-21,2005160,1790724,32316,12898652,29873218,8277,3738,113,36115,25987,42771870,62102,0.13328073169946217,182120,5473224.0
2021-11-22,2019674,1806644,32427,12976812,29921127,14514,15920,111,78160,47909,42897939,126069,0.11512743021678605,180603,5476475.0
2021-11-23,2045585,1819806,32542,13081588,29951131,25911,13162,115,104776,30004,43032719,134780,0.19224662412820892,193237,5483021.0
2021-11-24,2063629,1832423,32635,13183063,29978872,18044,12617,93,101475,27741,43161935,129216,0.1396421495789995,198571,5490702.0
2021-11-25,2091566,1844969,32749,13284131,30014499,27937,12546,114,101068,35627,43298630,136695,0.20437470280551592,213848,5493467.0
2021-11-26,2111944,1858079,32866,13384086,30043867,20378,13110,117,99955,29368,43427953,129323,0.1575744453809454,220999,5502691.0
2021-11-27,2124472,1863834,32961,13458530,30051767,12528,5755,95,74444,7900,43510297,82344,0.1521422325852521,227677,5498151.0
2021-11-28,2133777,1869655,33081,13508423,30062042,9305,5821,120,49893,10275,43570465,60168,0.15465031245844968,231041,5493668.0
2021-11-29,2151390,1891919,33189,13595577,30110207,17613,22264,108,87154,48165,43705784,135319,0.13015910552102808,226282,5499730.0
2021-11-30,2173410,1911055,33309,13709676,30138074,22020,19136,120,114099,27867,43847750,141966,0.15510756096530154,229046,5514552.0
2021-12-01,2194562,1919475,33449,13810312,30163498,21152,8420,140,100636,25424,43973810,126060,0.16779311438997302,241638,5538617.0
2021-12-02,2213180,1939860,33573,13911565,30194247,18618,20385,124,101253,30749,44105812,132002,0.14104331752549204,239747,5566596.0
2021-12-03,2230863,1960327,33692,14011478,30219324,17683,20467,119,99913,25077,44230802,124990,0.14147531802544203,236844,5603621.0
2021-12-04,2241845,1969453,33801,14083351,30226696,10982,9126,109,71873,7372,44310047,79245,0.13858287589122342,238591,5614503.0
2021-12-05,2248178,1977901,33911,14122629,30235396,6333,8448,110,39278,8700,44358025,47978,0.13199799908291301,236366,5619849.0
2021-12-06,2263748,2004837,34034,14209891,30275552,15570,26936,123,87262,40156,44485443,127418,0.12219623601061075,224877,5644762.0
2021-12-07,2283276,2029711,34143,14314115,30299206,19528,24874,109,104224,23654,44613321,127878,0.15270804986002284,219422,5682008.0
2021-12-08,2299478,2050490,34255,14402912,30323373,16202,20779,112,88797,24167,44726285,112964,0.14342622428384263,214733,5707617.0
2021-12-09,2313741,2069962,34368,14490515,30352156,14263,19472,113,87603,28783,44842671,116386,0.12254910384410496,209411,5732988.0
2021-12-10,2326140,2089026,34488,14577733,30375266,12399,19064,120,87218,23110,44952999,110328,0.11238307591907766,202626,5760359.0
2021-12-11,2335224,2097321,34588,14640412,30382370,9084,8295,100,62679,7104,45022782,69783,0.13017497098147113,203315,5770246.0
2021-12-12,2339349,2104972,34711,14668794,30390678,4125,7651,123,28382,8308,45059472,36690,0.11242845461978741,199666,5771620.0
2021-12-13,2351252,2131987,34825,14751747,30427554,11903,27015,114,82953,36876,45179301,119829,0.09933321650017943,184440,5772716.0
2021-12-14,2367956,2152670,34938,14848526,30450752,16704,20683,113,96779,23198,45299278,119977,0.13922668511464698,180348,5788504.0
2021-12-15,2379573,2171421,35061,14924010,30474321,11617,18751,123,75484,23569,45398331,99053,0.11728064773404137,173091,5798802.0
2021-12-16,2389070,2188532,35157,15002497,30504149,9497,17111,96,78487,29828,45506646,108315,0.08767945344596778,165381,5807125.0
2021-12-17,2398032,2204955,35245,15079421,30528755,8962,16423,88,76924,24606,45608176,101530,0.08826947700187136,157832,5819362.0
2021-12-18,2404016,2212065,35347,15129202,30538939,5984,7110,102,49781,10184,45668141,59965,0.0997915450679563,156604,5820042.0
2021-12-19,2407757,2218466,35415,15158926,30549032,3741,6401,68,29724,10093,45707958,39817,0.09395484340859432,153876,5815830.0
2021-12-20,2416356,2240794,35494,15232318,30582334,8599,22328,79,73392,33302,45814652,106694,0.08059497253828707,140068,5816066.0
2021-12-21,2428196,2257287,35575,15314878,30604240,11840,16493,81,82560,21906,45919118,104466,0.11333831102942585,135334,5814005.0
2021-12-22,2435888,2272039,35659,15393634,30624382,7692,14752,84,78756,20142,46018016,98898,0.07777710368258206,128190,5798115.0
2021-12-23,2443247,2284502,35717,15483000,30640651,7359,12463,58,89366,16269,46123651,105635,0.06966441047001468,123028,5740618.0
2021-12-24,2445292,2296740,35795,15503766,30645185,2045,12238,78,20766,4534,46148951,25300,0.0808300395256917,112757,5654871.0
2021-12-25,2446381,2302119,35862,15517382,30650596,1089,5379,67,13616,5411,46167978,19027,0.05723445629894361,108400,5476291.0
2021-12-26,2448395,2307078,35946,15538443,30660384,2014,4959,84,21061,9788,46198827,30849,0.0652857467016759,105371,5450727.0
2021-12-27,2455253,2325409,35997,15594286,30684616,6858,18331,51,55843,24232,46278902,80075,0.08564470808616921,93847,5565801.0
2021-12-28,2464331,2338453,36069,15653715,30702208,9078,13044,72,59429,17592,46355923,77021,0.11786395917996391,89809,5542955.0
2021-12-29,2470485,2349050,36143,15697765,30719709,6154,10597,74,44050,17501,46417474,61551,0.09998212864128933,85292,5512322.0
2021-12-30,2476239,2357855,36201,15737339,30736221,5754,8805,58,39574,16512,46473560,56086,0.10259244731305495,82183,5470653.0
2021-12-31,2481234,2366587,36256,15772845,30744596,4995,8732,55,35506,8375,46517441,43881,0.11383058727011691,78391,5390925.0
2022-01-01,2482322,2370962,36300,15781548,30748765,1088,4375,44,8703,4169,46530313,12872,0.08452454940957116,75060,5357351.0
2022-01-02,2484247,2374872,36350,15801137,30760251,1925,3910,50,19589,11486,46561388,31075,0.061946902654867256,73025,5348284.0
2022-01-03,2493587,2387759,36411,15874579,30800050,9340,12887,61,73442,39799,46674629,113241,0.0824789608004168,69417,5384613.0
2022-01-04,2503761,2396270,36470,15946104,30825099,10174,8511,59,71525,25049,46771203,96574,0.10534926584795079,71021,5434374.0
2022-01-05,2511142,2403893,36509,15999686,30846913,7381,7623,39,53582,21814,46846599,75396,0.09789644012944984,70740,5438198.0
2022-01-06,2517778,2409009,36565,16056949,30869852,6636,5116,56,57263,22939,46926801,80202,0.08274107877609037,72204,5457049.0
2022-01-07,2524444,2410018,36610,16125273,30886190,6666,1009,45,68324,16338,47011463,84662,0.07873662327844842,77816,5482511.0
2022-01-08,2528403,2411685,36652,16165643,30893441,3959,1667,42,40370,7251,47059084,47621,0.08313559144075093,80066,5483403.0
2022-01-09,2531165,2414965,36674,16189501,30901738,2762,3280,22,23858,8297,47091239,32155,0.08589643912299798,79526,5477633.0
2022-01-10,2538507,2425028,36717,16261153,30936418,7342,10063,43,71652,34680,47197571,106332,0.06904788774780875,76762,5477593.0
2022-01-11,2550878,2431741,36753,16339187,30957783,12371,6713,36,78034,21365,47296970,99399,0.12445799253513617,82384,5483581.0
2022-01-12,2562329,2431964,36792,16404543,30976884,11451,223,39,65356,19101,47381427,84457,0.13558378819991238,93573,5485925.0
2022-01-13,2574013,2432170,36820,16474609,30997999,11684,206,28,70066,21115,47472608,91181,0.12814073107335958,105023,5491511.0
2022-01-14,2587229,2432396,36844,16552510,31014683,13216,226,24,77901,16684,47567193,94585,0.13972617222604006,117989,5494796.0
2022-01-15,2596439,2432426,36853,16606080,31019602,9210,30,9,53570,4919,47625682,58489,0.15746550633452444,127160,5483621.0
