date,positive_total,recovered_total,deceased_total,tested_pcr_total,tested_ag_total,positive_daily,recovered_daily,deceased_daily,tested_pcr_daily,tested_ag_daily,tested_total,tested_daily,positive_ratio,active,vaxs_active
2021-11-26,2111893,1858120,32866,13384086,30043867,20378,13110,117,99955,29368,43427953,129323,0.1575744453809454,220907,5502334.0
2021-11-27,2124421,1863875,32961,13458530,30051767,12528,5755,95,74444,7900,43510297,82344,0.1521422325852521,227585,5497795.0
2021-11-28,2133726,1869696,33081,13508423,30062042,9305,5821,120,49893,10275,43570465,60168,0.15465031245844968,230949,5493313.0
2021-11-29,2151339,1891960,33189,13595577,30110207,17613,22264,108,87154,48165,43705784,135319,0.13015910552102808,226190,5499373.0
2021-11-30,2173359,1911096,33309,13709676,30138074,22020,19136,120,114099,27867,43847750,141966,0.15510756096530154,228954,5514183.0
2021-12-01,2194510,1919515,33449,13810312,30163498,21151,8419,140,100636,25424,43973810,126060,0.16778518165952722,241546,5538244.0
2021-12-02,2213126,1939900,33573,13911565,30194247,18616,20385,124,101253,30749,44105812,132002,0.14102816623990547,239653,5566221.0
2021-12-03,2230809,1960367,33692,14011478,30219324,17683,20467,119,99913,25077,44230802,124990,0.14147531802544203,236750,5603237.0
2021-12-04,2241791,1969493,33801,14083351,30226696,10982,9126,109,71873,7372,44310047,79245,0.13858287589122342,238497,5614125.0
2021-12-05,2248124,1977941,33911,14122629,30235396,6333,8448,110,39278,8700,44358025,47978,0.13199799908291301,236272,5619473.0
2021-12-06,2263693,2004877,34034,14209891,30275552,15569,26936,123,87262,40156,44485443,127418,0.12218838782589587,224782,5644386.0
2021-12-07,2283220,2029752,34143,14314115,30299206,19527,24875,109,104224,23654,44613321,127878,0.15270022990662976,219325,5681632.0
2021-12-08,2299422,2050531,34255,14402912,30323373,16202,20779,112,88797,24167,44726285,112964,0.14342622428384263,214636,5707237.0
2021-12-09,2313685,2070003,34368,14490515,30352156,14263,19472,113,87603,28783,44842671,116386,0.12254910384410496,209314,5732606.0
2021-12-10,2326084,2089067,34488,14577733,30375266,12399,19064,120,87218,23110,44952999,110328,0.11238307591907766,202529,5759974.0
2021-12-11,2335168,2097362,34588,14640412,30382370,9084,8295,100,62679,7104,45022782,69783,0.13017497098147113,203218,5769860.0
2021-12-12,2339293,2105013,34711,14668794,30390678,4125,7651,123,28382,8308,45059472,36690,0.11242845461978741,199569,5771234.0
2021-12-13,2351195,2132029,34825,14751747,30427554,11902,27016,114,82953,36876,45179301,119829,0.09932487127490007,184341,5772326.0
2021-12-14,2367898,2152693,34937,14848526,30450752,16703,20664,112,96779,23198,45299278,119977,0.13921835018378523,180268,5788122.0
2021-12-15,2379515,2171434,35060,14924010,30474321,11617,18741,123,75484,23569,45398331,99053,0.11728064773404137,173021,5798419.0
2021-12-16,2389012,2188543,35156,15002496,30504143,9497,17109,96,78486,29822,45506639,108308,0.08768512021272667,165313,5806739.0
2021-12-17,2397974,2204965,35244,15079420,30528720,8962,16422,88,76924,24577,45608140,101501,0.08829469660397435,157765,5818972.0
2021-12-18,2403958,2212073,35346,15129201,30538900,5984,7108,102,49781,10180,45668101,59961,0.09979820216474042,156539,5819655.0
2021-12-19,2407699,2218473,35414,15158925,30548992,3741,6400,68,29724,10092,45707917,39816,0.09395720313441833,153812,5815451.0
2021-12-20,2416298,2240799,35493,15232317,30582244,8599,22326,79,73392,33252,45814561,106644,0.08063275946138554,140006,5815687.0
2021-12-21,2428138,2257292,35574,15314877,30604138,11840,16493,81,82560,21894,45919015,104454,0.11335133168667548,135272,5813622.0
2021-12-22,2435830,2272042,35658,15393633,30624221,7692,14750,84,78756,20083,46017854,98839,0.07782353119719948,128130,5797726.0
2021-12-23,2443189,2284504,35716,15482999,30640447,7359,12462,58,89366,16226,46123446,105592,0.06969277975604213,122969,5740217.0
2021-12-24,2445234,2296855,35793,15503765,30644970,2045,12351,77,20766,4523,46148735,25289,0.08086519830756456,112586,5654476.0
2021-12-25,2446323,2302278,35860,15517381,30650379,1089,5423,67,13616,5409,46167760,19025,0.05724047306176084,108185,5475896.0
2021-12-26,2448337,2307234,35944,15538442,30660165,2014,4956,84,21061,9786,46198607,30847,0.0652899795766201,105159,5450337.0
2021-12-27,2455195,2325539,35995,15594284,30684372,6858,18305,51,55842,24207,46278656,80049,0.08567252557808343,93661,5565411.0
2021-12-28,2464272,2338564,36067,15653713,30701949,9077,13025,72,59429,17577,46355662,77006,0.11787393190141028,89641,5542564.0
2021-12-29,2470425,2349149,36141,15697763,30719397,6153,10585,74,44050,17448,46417160,61498,0.10005203421249471,85135,5511928.0
2021-12-30,2476178,2357941,36199,15737335,30735894,5753,8792,58,39572,16497,46473229,56069,0.102605717954663,82038,5470257.0
2021-12-31,2481173,2366663,36254,15772841,30744249,4995,8722,55,35506,8355,46517090,43861,0.11388249241923348,78256,5390539.0
2022-01-01,2482261,2371029,36298,15781543,30748411,1088,4366,44,8702,4162,46529954,12864,0.0845771144278607,74934,5356965.0
2022-01-02,2484186,2374930,36348,15801132,30759882,1925,3901,50,19589,11471,46561014,31060,0.06197681905988409,72908,5347898.0
2022-01-03,2493525,2387801,36409,15874574,30799428,9339,12871,61,73442,39546,46674002,112988,0.0826547951994902,69315,5384195.0
2022-01-04,2503699,2396304,36468,15946099,30824334,10174,8503,59,71525,24906,46770433,96431,0.10550549097281994,70927,5433946.0
2022-01-05,2511080,2403921,36507,15999677,30846101,7381,7617,39,53578,21767,46845778,75345,0.09796270489083549,70652,5437739.0
2022-01-06,2517716,2409025,36563,16056940,30868929,6636,5104,56,57263,22828,46925869,80091,0.08285575158257483,72128,5456552.0
2022-01-07,2524382,2410040,36608,16125261,30885185,6666,1015,45,68321,16256,47010446,84577,0.07881575369190205,77734,5481987.0
2022-01-08,2528341,2411710,36650,16165630,30892414,3959,1670,42,40369,7229,47058044,47598,0.08317576368754989,79981,5482869.0
2022-01-09,2531103,2414992,36672,16189482,30900693,2762,3282,22,23852,8279,47090175,32131,0.08596059879866795,79439,5477101.0
2022-01-10,2538445,2415329,36714,16261101,30934456,7342,337,42,71619,33763,47195557,105382,0.06967034218367463,86402,5476996.0
2022-01-11,2550817,2415621,36750,16339129,30955400,12372,292,36,78028,20944,47294529,98972,0.12500505193388028,98446,5482828.0
2022-01-12,2562270,2415841,36786,16404485,30973303,11453,220,36,65356,17903,47377788,83259,0.13755870236250736,109643,5484552.0
2022-01-13,2573945,2415999,36799,16469162,30992745,11675,158,13,64677,19442,47461907,84119,0.1387914739832856,121147,5487379.0
