date,positive_total,recovered_total,deceased_total,tested_pcr_total,tested_ag_total,positive_daily,recovered_daily,deceased_daily,tested_pcr_daily,tested_ag_daily,tested_total,tested_daily,positive_ratio,active,vaxs_active,vaxs_active_prcs
2021-12-03,2233509,1958743,33731,14011478,30219324,17685,20464,122,99913,25077,44230802,124990,0.14149131930554446,241035,5607493.0,0.5239777468732529
2021-12-04,2244491,1967867,33840,14083351,30226696,10982,9124,109,71873,7372,44310047,79245,0.13858287589122342,242784,5618354.0,0.5249926250565677
2021-12-05,2250826,1976317,33950,14122629,30235396,6335,8450,110,39278,8700,44358025,47978,0.1320396848555588,240559,5623696.0,0.5254917944935686
2021-12-06,2266407,2003254,34076,14209891,30275552,15581,26937,126,87262,40156,44485443,127418,0.12228256604247438,229077,5648663.0,0.5278247715309337
2021-12-07,2285945,2028130,34188,14314115,30299206,19538,24876,112,104224,23654,44613321,127878,0.1527862493939536,223627,5685937.0,0.5313077444988809
2021-12-08,2302154,2048910,34301,14402912,30323373,16209,20780,113,88797,24167,44726285,112964,0.1434881909280833,218943,5711560.0,0.5337020197673713
2021-12-09,2316420,2068374,34415,14490515,30352156,14266,19464,114,87603,28783,44842671,116386,0.12257488014022305,213631,5736959.0,0.5360753639325506
2021-12-10,2328821,2087435,34536,14577733,30375266,12401,19061,121,87218,23110,44952999,110328,0.11240120368356174,206850,5764359.0,0.5386356863911479
2021-12-11,2337907,2095728,34636,14640412,30382370,9086,8293,100,62679,7104,45022782,69783,0.13020363125689638,207543,5774229.0,0.539557963130796
2021-12-12,2342036,2103380,34760,14668794,30390678,4129,7652,124,28382,8308,45059472,36690,0.11253747615153993,203896,5775596.0,0.5396856989264494
2021-12-13,2353941,2130394,34875,14751747,30427554,11905,27014,115,82953,36876,45179301,119829,0.09934990695073813,188672,5776742.0,0.539792783946068
2021-12-14,2370648,2151082,34989,14848526,30450752,16707,20688,114,96779,23198,45299278,119977,0.13925168990723222,184577,5792557.0,0.5412705759052913
