date,positive_total,recovered_total,deceased_total,tested_pcr_total,tested_ag_total,positive_daily,recovered_daily,deceased_daily,tested_pcr_daily,tested_ag_daily,tested_total,tested_daily,positive_ratio,active
2021-10-24,1732266,1670965,30699,11390310,28571519,1838,535,20,17154,28123,39961829,45277,0.04059456236058043,30602
2021-10-25,1736552,1672581,30719,11430738,28635947,4286,1616,20,40428,64428,40066685,104856,0.04087510490577554,33252
2021-10-26,1742841,1673955,30735,11492405,28689282,6289,1374,16,61667,53335,40181687,115002,0.054686005460774595,38151
2021-10-27,1748705,1675507,30757,11556661,28768050,5864,1552,22,64256,78768,40324711,143024,0.041000111869336615,42441
2021-10-28,1753061,1677062,30783,11598896,28799970,4356,1555,26,42235,31920,40398866,74155,0.05874182455667184,45216
2021-10-29,1758815,1678865,30809,11643848,28886954,5754,1803,26,44952,86984,40530802,131936,0.04361205432937182,49141
2021-10-30,1763873,1679688,30832,11681898,28919114,5058,823,23,38050,32160,40601012,70210,0.07204101979774961,53353
2021-10-31,1766662,1680650,30863,11706567,28957174,2789,962,31,24669,38060,40663741,62729,0.044461094549570375,55149
2021-11-01,1774273,1684077,30894,11770799,29006359,7611,3427,31,64232,49185,40777158,113417,0.06710634208275655,59302
2021-11-02,1784210,1687283,30929,11830912,29040045,9937,3206,35,60113,33686,40870957,93799,0.10593929572809944,65998
2021-11-03,1793690,1690803,30974,11873756,29078149,9480,3520,45,42844,38104,40951905,80948,0.11711222019073973,71913
2021-11-04,1802166,1694416,31019,11917447,29120505,8476,3613,45,43691,42356,41037952,86047,0.09850430578637256,76731
2021-11-05,1811416,1698560,31076,11967844,29186327,9250,4144,57,50397,65822,41154171,116219,0.07959111677092386,81780
2021-11-06,1817158,1700624,31127,12002954,29223071,5742,2064,51,35110,36744,41226025,71854,0.07991204386672976,85407
2021-11-07,1820169,1702929,31166,12021245,29247970,3011,2305,39,18291,24899,41269215,43190,0.06971521185459598,86074
2021-11-08,1829454,1709468,31214,12071098,29303586,9285,6539,48,49853,55616,41374684,105469,0.08803534687917777,88772
2021-11-09,1844025,1714950,31276,12140389,29342920,14571,5482,62,69291,39334,41483309,108625,0.13414039125431532,97799
2021-11-10,1857579,1721128,31351,12204540,29384766,13554,6178,75,64151,41846,41589306,105997,0.12787154353425098,105100
2021-11-11,1868019,1724129,31422,12268756,29434149,10440,3001,71,64216,49383,41702905,113599,0.09190221744909727,112468
2021-11-12,1882265,1731389,31490,12341884,29500808,14246,7260,68,73128,66659,41842692,139787,0.10191219498236603,119386
2021-11-13,1891444,1735046,31564,12387903,29535394,9179,3657,74,46019,34586,41923297,80605,0.11387631040258049,124834
2021-11-14,1897126,1738730,31626,12416275,29559624,5682,3684,62,28372,24230,41975899,52602,0.10801870651306034,126770
