date,positive_total,recovered_total,deceased_total,tested_pcr_total,tested_ag_total,positive_daily,recovered_daily,deceased_daily,tested_pcr_daily,tested_ag_daily,tested_total,tested_daily,positive_ratio,active
2021-10-23,1730418,1670432,30679,11373156,28543396,2756,476,13,30076,35315,39916552,65391,0.04214647275618969,29307
2021-10-24,1732256,1670967,30699,11390310,28571519,1838,535,20,17154,28123,39961829,45277,0.04059456236058043,30590
2021-10-25,1736542,1672583,30719,11430738,28635947,4286,1616,20,40428,64428,40066685,104856,0.04087510490577554,33240
2021-10-26,1742831,1673957,30735,11492405,28689282,6289,1374,16,61667,53335,40181687,115002,0.054686005460774595,38139
2021-10-27,1748695,1675509,30757,11556661,28768050,5864,1552,22,64256,78768,40324711,143024,0.041000111869336615,42429
2021-10-28,1753051,1677064,30783,11598896,28799970,4356,1555,26,42235,31920,40398866,74155,0.05874182455667184,45204
2021-10-29,1758805,1678867,30809,11643848,28886954,5754,1803,26,44952,86984,40530802,131936,0.04361205432937182,49129
2021-10-30,1763863,1679690,30832,11681898,28919114,5058,823,23,38050,32160,40601012,70210,0.07204101979774961,53341
2021-10-31,1766652,1680652,30863,11706567,28957174,2789,962,31,24669,38060,40663741,62729,0.044461094549570375,55137
2021-11-01,1774263,1684079,30894,11770799,29006359,7611,3427,31,64232,49185,40777158,113417,0.06710634208275655,59290
2021-11-02,1784200,1687285,30929,11830912,29040045,9937,3206,35,60113,33686,40870957,93799,0.10593929572809944,65986
2021-11-03,1793680,1690805,30974,11873756,29078149,9480,3520,45,42844,38104,40951905,80948,0.11711222019073973,71901
2021-11-04,1802156,1694418,31019,11917447,29120505,8476,3613,45,43691,42356,41037952,86047,0.09850430578637256,76719
2021-11-05,1811406,1698562,31076,11967844,29186327,9250,4144,57,50397,65822,41154171,116219,0.07959111677092386,81768
2021-11-06,1817148,1700626,31127,12002954,29223071,5742,2064,51,35110,36744,41226025,71854,0.07991204386672976,85395
2021-11-07,1820159,1702931,31166,12021245,29247970,3011,2305,39,18291,24899,41269215,43190,0.06971521185459598,86062
2021-11-08,1829444,1709471,31214,12071098,29303586,9285,6540,48,49853,55616,41374684,105469,0.08803534687917777,88759
2021-11-09,1844015,1714953,31276,12140389,29342920,14571,5482,62,69291,39334,41483309,108625,0.13414039125431532,97786
2021-11-10,1857567,1721123,31351,12204540,29384766,13552,6170,75,64151,41846,41589306,105997,0.1278526750757097,105093
2021-11-11,1868007,1724124,31422,12268756,29434149,10440,3001,71,64216,49383,41702905,113599,0.09190221744909727,112461
2021-11-12,1882253,1731385,31490,12341884,29500777,14246,7261,68,73128,66628,41842661,139756,0.1019348006525659,119378
2021-11-13,1891432,1735041,31564,12387903,29535359,9179,3656,74,46019,34582,41923262,80601,0.11388196176226101,124827
2021-11-14,1897114,1738725,31626,12416275,29559588,5682,3684,62,28372,24229,41975863,52601,0.10802076006159579,126763
2021-11-15,1908667,1748869,31719,12483144,29619710,11553,10144,93,66869,60122,42102854,126991,0.09097495098077817,128079
2021-11-16,1931197,1757623,31788,12578784,29671197,22530,8754,69,95640,51487,42249981,147127,0.1531330075377055,141786
2021-11-17,1945364,1766189,31870,12640675,29695071,14167,8566,82,61891,23874,42335746,85765,0.16518393283973648,147305
2021-11-18,1958838,1774356,31990,12705013,29746950,13474,8167,120,64338,51879,42451963,116217,0.11593828785805863,152492
2021-11-19,1981805,1783519,32101,12796675,29813146,22967,9163,111,91662,66196,42609821,157858,0.1454915176931166,166185
2021-11-20,1996217,1787259,32197,12862502,29846489,14412,3740,96,65827,33343,42708991,99170,0.14532620752243622,176761
2021-11-21,2004478,1791051,32309,12898608,29872466,8261,3792,112,36106,25977,42771074,62083,0.13306380168484125,181118
2021-11-22,2018981,1807204,32419,12976756,29920020,14503,16153,110,78148,47554,42896776,125702,0.11537604811379294,179358
2021-11-23,2044884,1820539,32535,13081521,29949540,25903,13335,116,104765,29520,43031061,134285,0.19289570689205793,191810
2021-11-24,2062918,1833296,32628,13182991,29977131,18034,12757,93,101470,27591,43160122,129061,0.13973237461355484,196994
2021-11-25,2090848,1845976,32741,13284047,30012259,27930,12680,113,101056,35128,43296306,136184,0.20509017212007286,212131
2021-11-26,2111213,1859292,32858,13383993,30041462,20365,13316,117,99946,29203,43425455,129149,0.15768608351593896,219063
2021-11-27,2123737,1865079,32953,13458426,30049338,12524,5787,95,74433,7876,43507764,82309,0.15215833019475392,225705
