date,positive_total,recovered_total,deceased_total,tested_pcr_total,tested_ag_total,positive_daily,recovered_daily,deceased_daily,tested_pcr_daily,tested_ag_daily,tested_total,tested_daily,positive_ratio,active,vaxs_active,vaxs_active_prcs
2021-12-12,2342230,2103268,34762,14668794,30390678,4129,7652,124,28382,8308,45059472,36690,0.11253747615153993,204200,5775823.0,0.539706910357037
2021-12-13,2354136,2130282,34877,14751747,30427554,11906,27014,115,82953,36876,45179301,119829,0.09935825217601749,188977,5776968.0,0.5398139019342302
2021-12-14,2370845,2150970,34991,14848526,30450752,16709,20688,114,96779,23198,45299278,119977,0.1392683597689557,184884,5792784.0,0.5412917873358789
2021-12-15,2382463,2169720,35115,14924010,30474321,11618,18750,124,75484,23569,45398331,99053,0.11729074333942435,177628,5803136.0,0.5422591033246161
2021-12-16,2391964,2186847,35212,15002497,30504149,9501,17127,97,78487,29828,45506646,108315,0.08771638277246918,169905,5811524.0,0.5430428983896787
2021-12-17,2400926,2203280,35305,15079421,30528755,8962,16433,93,76924,24606,45608176,101530,0.08826947700187136,162341,5823852.0,0.5441948566111965
2021-12-18,2406911,2210395,35409,15129202,30538939,5985,7115,104,49781,10184,45668141,59965,0.0998082214625198,161107,5824537.0,0.5442588646726614
2021-12-19,2410656,2216796,35479,15158926,30549035,3745,6401,70,29724,10096,45707961,39820,0.09404821697639378,158381,5820344.0,0.5438670605825556
2021-12-20,2419256,2239147,35559,15232318,30582391,8600,22351,80,73392,33356,45814709,106748,0.08056357027766328,144550,5821118.0,0.5439393850198897
2021-12-21,2431102,2255673,35640,15314879,30604329,11846,16526,81,82561,21938,45919208,104499,0.1133599364587221,139789,5819580.0,0.5437956705694764
2021-12-22,2438798,2270439,35724,15393635,30624503,7696,14766,84,78756,20174,46018138,98930,0.07779237844940867,132635,5804232.0,0.54236151622296
2021-12-23,2446159,2282921,35784,15483003,30640808,7361,12482,60,89368,16305,46123811,105673,0.06965828546553993,127454,5747778.0,0.5370863175339946
2021-12-24,2448205,2295159,35864,15503769,30645364,2046,12238,80,20766,4556,46149133,25322,0.08079930495221546,117182,5662498.0,0.5291175474876743
2021-12-25,2449295,2300541,35932,15517386,30650787,1090,5382,68,13617,5423,46168173,19040,0.05724789915966386,112822,5483923.0,0.512431066354681
2021-12-26,2451310,2305469,36017,15538447,30660597,2015,4928,85,21061,9810,46199044,30871,0.06527161413624437,109824,5458416.0,0.5100476304075482
2021-12-27,2458174,2323711,36068,15594291,30684999,6864,18242,51,55844,24402,46279290,80246,0.08553697380554794,98395,5574384.0,0.5208839616074975
2021-12-28,2467252,2336692,36140,15653719,30702628,9078,12981,72,59428,17629,46356347,77057,0.1178088947143024,94420,5551685.0,0.5187629119911581
2021-12-29,2473412,2347226,36215,15697769,30720173,6160,10534,75,44050,17545,46417942,61595,0.10000811754200828,89971,5522140.0,0.5160021555298714
2021-12-30,2479168,2355998,36273,15737349,30736726,5756,8772,58,39580,16553,46474075,56133,0.10254217661625069,86897,5481731.0,0.5122262405579933
2021-12-31,2484166,2364639,36328,15772857,30745136,4998,8641,55,35508,8410,46517993,43918,0.11380299649346509,83199,5403850.0,0.5049488510179198
2022-01-01,2485259,2369004,36374,15781562,30749345,1093,4365,46,8705,4209,46530907,12914,0.08463682824841258,79881,5370346.0,0.5018181559940933
2022-01-02,2487190,2372927,36425,15801157,30760895,1931,3923,51,19595,11550,46562052,31145,0.062000321078824853,77838,5361313.0,0.5009740905645856
2022-01-03,2496548,2385819,36485,15874605,30801658,9358,12892,60,73448,40763,46676263,114211,0.08193606570295331,74244,5399398.0,0.5045328453396104
2022-01-04,2506728,2394306,36545,15946144,30827160,10180,8487,60,71539,25502,46773304,97041,0.10490411269463423,75877,5451305.0,0.5093831613198444
2022-01-05,2514117,2401953,36584,15999727,30849882,7389,7647,39,53583,22722,46849609,76305,0.09683506978572833,75580,5457904.0,0.5099997878856941
2022-01-06,2520758,2407054,36642,16056992,30873407,6641,5101,58,57265,23525,46930399,80790,0.0822007674217106,77062,5479349.0,0.5120036607004612
2022-01-07,2527432,2407980,36688,16125320,30890522,6674,926,46,68328,17115,47015842,85443,0.07811055323431995,82764,5508944.0,0.5147690892830228
2022-01-08,2531395,2409673,36731,16165691,30898121,3963,1693,43,40371,7599,47063812,47970,0.08261413383364603,84991,5510280.0,0.5148939283634858
2022-01-09,2534159,2413010,36754,16189551,30906522,2764,3337,23,23860,8401,47096073,32261,0.08567620346548464,84395,5504757.0,0.51437784584747
2022-01-10,2541520,2423091,36797,16261209,30943165,7361,10081,43,71658,36643,47204374,108301,0.06796797813501261,81632,5507635.0,0.5146467731480482
2022-01-11,2553899,2429830,36835,16339268,30965515,12379,6739,38,78059,22350,47304783,100409,0.12328576123654254,87234,5517618.0,0.5155796088817773
2022-01-12,2565367,2435301,36876,16404642,30986029,11468,5471,41,65374,20514,47390671,85888,0.13352272727272727,93190,5525018.0,0.5162710828304495
2022-01-13,2577060,2440881,36909,16474719,31009882,11693,5580,33,70077,23853,47484601,93930,0.12448631959970191,99270,5536672.0,0.5173600608571829
2022-01-14,2590289,2444129,36942,16556409,31028939,13229,3248,33,81690,19057,47585348,100747,0.1313091208671226,109218,5547364.0,0.5183591472705888
2022-01-15,2599582,2445171,36967,16617724,31034869,9293,1042,25,61315,5930,47652593,67245,0.13819614841252137,117444,5537823.0,0.5174676130889291
2022-01-16,2606828,2449607,36996,16652118,31042693,7246,4436,29,34394,7824,47694811,42218,0.1716329527689611,120225,5522955.0,0.5160783111066508
2022-01-17,2627138,2461720,37024,16744292,31106070,20310,12113,28,92174,63377,47850362,155551,0.1305681094946352,128394,5503615.0,0.5142711345975532
2022-01-18,2655642,2469785,37049,16853999,31137884,28504,8065,25,109707,31814,47991883,141521,0.20141180460850333,148808,5487937.0,0.5128061442506231
2022-01-19,2681663,2476491,37076,16956634,31158121,26021,6706,27,102635,20237,48114755,122872,0.2117732274236604,168096,5474629.0,0.511562612452119
2022-01-20,2708604,2483235,37095,17062766,31199508,26941,6744,19,106132,41387,48262274,147519,0.18262732258217584,188274,5464917.0,0.5106550996156993
