date,positive_total,recovered_total,deceased_total,tested_pcr_total,tested_ag_total,positive_daily,recovered_daily,deceased_daily,tested_pcr_daily,tested_ag_daily,tested_total,tested_daily,positive_ratio,active
2021-10-11,1702149,1661214,30565,11019025,27938185,1343,821,5,21438,51343,38957210,72781,0.018452618128357676,10370
2021-10-12,1703656,1661565,30572,11043786,27972424,1507,351,7,24761,34239,39016210,59000,0.025542372881355933,11519
2021-10-13,1705155,1662624,30578,11075430,28012791,1499,1059,6,31644,40367,39088221,72011,0.020816264181861104,11953
2021-10-14,1706694,1663364,30584,11104628,28068590,1539,740,6,29198,55799,39173218,84997,0.01810652140663788,12746
2021-10-15,1708476,1664193,30594,11136669,28155785,1782,829,10,32041,87195,39292454,119236,0.014945150793384548,13689
2021-10-16,1709634,1664521,30602,11154340,28188497,1158,328,8,17671,32712,39342837,50383,0.022983942996645693,14511
2021-10-17,1710429,1664933,30613,11164599,28212943,795,412,11,10259,24446,39377542,34705,0.022907362051577583,14883
2021-10-18,1712962,1666099,30625,11191843,28268623,2533,1166,12,27244,55680,39460466,82924,0.030546042159085428,16238
2021-10-19,1716212,1667020,30635,11225648,28306918,3250,921,10,33805,38295,39532566,72100,0.04507628294036061,18557
2021-10-20,1719491,1668059,30642,11260089,28354473,3279,1039,7,34441,47555,39614562,81996,0.03998975559783404,20790
2021-10-21,1723134,1669046,30652,11301951,28414810,3643,987,10,41862,60337,39716761,102199,0.03564614135167663,23436
2021-10-22,1727373,1670016,30666,11347340,28508061,4239,970,14,45389,93251,39855401,138640,0.030575591459896134,26691
2021-10-23,1730129,1670492,30679,11377416,28543376,2756,476,13,30076,35315,39920792,65391,0.04214647275618969,28958
2021-10-24,1731967,1671027,30699,11394570,28571499,1838,535,20,17154,28123,39966069,45277,0.04059456236058043,30241
2021-10-25,1736251,1672644,30719,11435000,28635927,4284,1617,20,40430,64428,40070927,104858,0.04085525186442618,32888
2021-10-26,1742539,1674018,30735,11496667,28689262,6288,1374,16,61667,53335,40185929,115002,0.05467730995982679,37786
2021-10-27,1748390,1675570,30757,11560923,28768030,5851,1552,22,64256,78768,40328953,143024,0.04090921803333706,42063
2021-10-28,1752746,1677125,30783,11603158,28799950,4356,1555,26,42235,31920,40403108,74155,0.05874182455667184,44838
2021-10-29,1758499,1678928,30809,11648110,28886934,5753,1803,26,44952,86984,40535044,131936,0.043604474896919716,48762
2021-10-30,1763557,1679750,30832,11686160,28919094,5058,822,23,38050,32160,40605254,70210,0.07204101979774961,52975
2021-10-31,1766322,1680712,30863,11710829,28957146,2765,962,31,24669,38052,40667975,62721,0.044084118556783215,54747
2021-11-01,1773930,1684136,30894,11775061,29006133,7608,3424,31,64232,48987,40781194,113219,0.06719720188307617,58900
2021-11-02,1783852,1687342,30929,11835173,29039477,9922,3206,35,60112,33344,40874650,93456,0.10616760828625235,65581
2021-11-03,1793324,1690857,30974,11878014,29077404,9472,3515,45,42841,37927,40955418,80768,0.11727416798732171,71493
2021-11-04,1801788,1694470,31019,11921705,29118846,8464,3613,45,43691,41442,41040551,85133,0.0994209061116136,76299
2021-11-05,1811034,1698609,31076,11972096,29184403,9246,4139,57,50391,65557,41156499,115948,0.07974264325387243,81349
2021-11-06,1816773,1700669,31126,12007205,29221104,5739,2060,50,35109,36701,41228309,71810,0.0799192313048322,84978
2021-11-07,1819782,1702971,31165,12025495,29245954,3009,2302,39,18290,24850,41271449,43140,0.06974965229485397,85646
2021-11-08,1829057,1709673,31213,12075344,29300698,9275,6702,48,49849,54744,41376042,104593,0.08867706251852418,88171
2021-11-09,1843623,1715263,31275,12144531,29339708,14566,5590,62,69187,39010,41484239,108197,0.13462480475429078,97085
2021-11-10,1857146,1721528,31350,12208673,29380983,13523,6265,75,64142,41275,41589656,105417,0.12828101729322594,104268
2021-11-11,1867568,1724644,31419,12272849,29429782,10422,3116,69,64176,48799,41702631,112975,0.09225049789776499,111505
2021-11-12,1881802,1732059,31487,12345925,29495644,14234,7415,68,73076,65862,41841569,138938,0.10244857418416847,118256
2021-11-13,1890977,1735740,31560,12391911,29530115,9175,3681,73,45986,34471,41922026,80457,0.11403606895608835,123677
2021-11-14,1896642,1739413,31622,12420259,29554264,5665,3673,62,28348,24149,41974523,52497,0.10791092824351868,125607
2021-11-15,1908179,1749651,31713,12487115,29612877,11537,10238,91,66856,58613,42099992,125469,0.09195099984856817,126815
2021-11-16,1930687,1758537,31782,12582567,29662771,22508,8886,69,95452,49894,42245338,145346,0.15485806282938644,140368
2021-11-17,1944832,1767060,31864,12644329,29686241,14145,8523,82,61762,23470,42330570,85232,0.16595879481884737,145908
2021-11-18,1958244,1775325,31983,12708575,29736583,13412,8265,119,64246,50342,42445158,114588,0.11704541487764862,150936
2021-11-19,1981203,1784584,32093,12800088,29801364,22959,9259,110,91513,64781,42601452,156294,0.14689623402049984,164526
2021-11-20,1995613,1788263,32186,12865775,29834527,14410,3679,93,65687,33163,42700302,98850,0.14577642893272635,175164
2021-11-21,2003870,1791974,32294,12901867,29860363,8257,3711,108,36092,25836,42762230,61928,0.13333225681436506,179602
2021-11-22,2018367,1807932,32401,12979995,29905340,14497,15958,107,78128,44977,42885335,123105,0.11776126071239998,178034
2021-11-23,2044259,1821107,32512,13084640,29933084,25892,13175,111,104645,27744,43017724,132389,0.19557516107833733,190640
2021-11-24,2062291,1833714,32604,13186072,29958965,18032,12607,92,101432,25881,43145037,127313,0.1416351825815117,195973
2021-11-25,2090220,1834169,32703,13287014,29989986,27929,455,99,100942,31021,43277000,131963,0.21164265741154717,223348
2021-11-26,2110570,1834742,32800,13386758,30016666,20350,573,97,99744,26680,43403424,126424,0.16096627222679238,243028
